func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
process,1717177628.035151,1717177628.47033,False,7b4959d3,2372c42a-0366-487b-a2a5-316b5122f40e,0.0,0.0,474f0e62,481128.0,0.0,,,,0.0
process,1717177634.58247,1717177635.024283,False,7b4959d3,679dd823-1370-40f3-b574-f56e7787e44a,0.0,0.0,474f0e62,494923.0,0.0,,,,0.0
process,1717177630.257786,1717177630.707591,False,7b4959d3,c35d557d-f9ed-4229-ac2f-0e6144202355,0.0,0.0,474f0e62,502491.0,0.0,,,,0.0
gen,1717177626.416921,1717177626.83846,False,7b4959d3,a0bd13be-7863-4617-b5bf-b6fbc993a51b,0.0,0.0,474f0e62,0.0,0.0,,,,0.0
run_workflow,1717177635.335936,1717177635.340248,,,,,,474f0e62,0.0,0.0,,,,0.0
process,1717177632.477248,1717177632.9226,False,7b4959d3,c9ba6f24-8963-463a-9b35-c5db9ac68b0f,0.0,0.0,474f0e62,505732.0,0.0,,,,0.0
process,1717177627.24847,1717177627.638029,False,7b4959d3,0e7d2816-f083-4bd0-b507-f6599c0394f3,0.0,0.0,474f0e62,434539.0,0.0,,,,0.0
process,1717177629.013171,1717177629.626421,False,7b4959d3,f0df83a3-9609-4470-995a-a2cb63b1eb21,0.0,0.0,474f0e62,680821.0,0.0,,,,0.0
process,1717177633.572578,1717177634.017922,False,7b4959d3,097cb810-2bdc-4fa7-a1cb-620de92fa1a5,0.0,0.0,474f0e62,519959.0,0.0,,,,0.0
process,1717177631.466068,1717177631.92207,False,7b4959d3,b0b6829e-f019-4ebe-a1b1-6e4efd36a6b6,0.0,0.0,474f0e62,523819.0,0.0,,,,0.0
