func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
process,1706569879.172641,1706569879.179102,True,1e2a95a9,7xtem8pjeyre,0,0,863df760,90000.0,0.0,,,,0.0
process,1706569883.097636,1706569883.098243,False,27f42114,e8eq6isu88vo,0,0,863df760,11000.0,0.0,,,,0.0
process,1706569882.937678,1706569882.938096,False,d56d72ed,txlkkgug6ew9,0,0,863df760,15000.0,0.0,,,,0.0
gen,1706569877.528544,1706569877.529728,False,d226f185,oh17cobiuuw9,0,0,863df760,12000.0,0.0,,,,0.0
process,1706569881.240852,1706569881.249377,True,d0a36fac,hd2k6hjq3k0a,0,0,863df760,145000.0,0.0,,,,0.0
process,1706569882.853365,1706569882.863153,True,bac8c2a0,hvuwbw57mxrz,0,0,863df760,81000.0,0.0,,,,0.0
process,1706569883.008029,1706569883.008978,False,d56d72ed,txlkmf9pf4zt,0,0,863df760,13000.0,0.0,,,,0.0
process,1706569879.281877,1706569879.282375,False,1e2a95a9,7xtezz6sj945,0,0,863df760,10000.0,0.0,,,,0.0
process,1706569879.349897,1706569879.350289,False,d56d72ed,txlky9cq1fr5,0,0,863df760,10000.0,0.0,,,,0.0
process,1706569879.58168,1706569879.6287,False,1e2a95a9,7xteix9f2xlu,0,0,283cadd8,69000.0,0.0,,,,0.0
process,1706569877.538621,1706569877.539124,False,d56d72ed,txlkv0jmw1n0,0,0,283cadd8,11000.0,0.0,,,,0.0
gen,1706569877.448076,1706569877.448675,False,d226f185,oh17fiirkhsb,0,0,283cadd8,11000.0,0.0,,,,0.0
process,1706569877.620753,1706569877.621184,False,d56d72ed,txlkskg7uq3e,0,0,283cadd8,14000.0,0.0,,,,0.0
process,1706569879.434882,1706569879.435438,False,c802c6e9,qrgphtjbudx4,0,0,283cadd8,13000.0,0.0,,,,0.0
process,1706569879.777571,1706569879.777996,False,738d5d6c,53fnothknpbl,0,0,283cadd8,9000.0,0.0,,,,0.0
process,1706569879.333054,1706569879.340457,True,c802c6e9,qrgpxklgy8mh,0,0,283cadd8,72000.0,0.0,,,,0.0
process,1706569879.510739,1706569879.511391,False,c802c6e9,qrgppyzqt62e,0,0,283cadd8,11000.0,0.0,,,,0.0
process,1706569879.709436,1706569879.709948,False,c802c6e9,qrgpusrcnx3h,0,0,283cadd8,11000.0,0.0,,,,0.0
process,1706569879.560827,1706569879.561255,False,d56d72ed,txlk2hxxb8o7,0,0,d3aac477,46000.0,0.0,,,,0.0
