func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
cancel_flight,1722681629.14648,1722681629.415268,False,9f1565b1,aac21ff6-a2cf-45b0-a6df-6e134c65e5c4,0.0,0.0,732e035f,306730.0,0.0,,,,0.0
cancel_rental,1722681631.212186,1722681631.292145,False,9f1565b1,54d147be-90f2-4fc4-89e4-4a09ed198d20,0.0,0.0,732e035f,368301.0,0.0,,,,0.0
reserve_flight,1722681588.933973,1722681588.982146,False,cb4c2004,d74f3351-5bd8-4a95-a830-23ddabf9bdc1,0.0,0.0,732e035f,518980.0,0.0,,,,0.0
cancel_hotel,1722681632.397028,1722681632.442277,False,9f1565b1,1a1934f7-8b05-40d4-b4f6-994e379f7fee,0.0,0.0,732e035f,612642.0,0.0,,,,0.0
run_workflow,1722681632.964632,1722681632.9874322,,,,,,732e035f,0.0,0.0,,,,0.0
reserve_hotel,1722681584.177228,1722681584.259691,False,cb4c2004,8bf108c8-5912-4472-8db9-7a48131935f8,0.0,0.0,732e035f,197658.0,0.0,,,,0.0
reserve_rental,1722681586.118903,1722681586.172931,False,cb4c2004,1a5e9202-9e98-4029-aec5-705ccf9a1948,0.0,0.0,732e035f,503034.0,0.0,,,,0.0
cancel_rental,1722681631.359821,1722681631.410096,False,9f1565b1,50a05b77-8be2-4228-bab1-d4641a86332b,0.0,0.0,93c5aa7b,430866.0,0.0,,,,0.0
reserve_hotel,1722681584.360816,1722681584.413928,False,cb4c2004,1d667fe6-a66d-4a29-8ab6-27f9d62cc4fe,0.0,0.0,93c5aa7b,302339.0,0.0,,,,0.0
reserve_flight,1722681589.204186,1722681589.255958,False,cb4c2004,0949eb4f-c507-4953-8b12-dbcf62a09668,0.0,0.0,93c5aa7b,576414.0,0.0,,,,0.0
run_workflow,1722681633.027157,1722681633.0283022,,,,,,93c5aa7b,0.0,0.0,,,,0.0
reserve_rental,1722681586.408598,1722681586.488203,False,cb4c2004,e8745751-a601-41cf-8146-0681c98ec42b,0.0,0.0,93c5aa7b,518815.0,0.0,,,,0.0
cancel_flight,1722681629.439893,1722681629.460334,False,9f1565b1,9e06696c-6123-4a07-aab0-c556627db52f,0.0,0.0,93c5aa7b,320702.0,0.0,,,,0.0
cancel_hotel,1722681632.562376,1722681632.620868,False,9f1565b1,569a5e33-4213-4786-b49c-6e500e7fa0a1,0.0,0.0,93c5aa7b,451246.0,0.0,,,,0.0
reserve_flight,1722681618.717697,1722681619.033359,False,1760ee10,f2119914-9f4c-4a24-94ba-ace37a0619cc,0.0,0.0,0e6ec1f9,556564.0,0.0,,,,0.0
reserve_hotel,1722681583.663574,1722681583.767769,False,cb4c2004,c4fc4478-2767-4260-810f-562a8b6c4515,0.0,0.0,0e6ec1f9,243783.0,0.0,,,,0.0
cancel_flight,1722681620.568393,1722681620.637217,False,1760ee10,031eb4b7-39ec-42fc-aa20-9c969f684e0c,0.0,0.0,0e6ec1f9,311849.0,0.0,,,,0.0
cancel_hotel,1722681622.649778,1722681622.86641,False,1760ee10,ba81d12a-5fca-4a67-9a9a-9a286bd77888,0.0,0.0,0e6ec1f9,542477.0,0.0,,,,0.0
run_workflow,1722681623.371983,1722681623.377261,,,,,,0e6ec1f9,0.0,0.0,,,,0.0
reserve_rental,1722681617.653488,1722681617.997196,False,1760ee10,ba70a74f-5c55-413e-8e0a-fbfbbef76782,0.0,0.0,0e6ec1f9,501873.0,0.0,,,,0.0
cancel_rental,1722681621.535245,1722681621.774437,False,1760ee10,40b13774-4d76-4489-830d-a4df754daf70,0.0,0.0,0e6ec1f9,472576.0,0.0,,,,0.0
cancel_flight,1722681591.90103,1722681592.34028,False,cb4c2004,e2fa0981-fb93-41f4-add0-5eef47696456,0.0,0.0,944d2feb,783404.0,0.0,,,,0.0
