func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
process,1701282837.147023,1701282842.151416,True,8a722d82,240b2b20-6f2d-4c5e-836f-7910acfbc6fd,0,0,af18baa4,5011800.0,229380.0,46.0,5012.0,256.0,1283072.0
generate,1701282836.565535,1701282836.566346,True,8b8bd99c,4d892d42-4c9b-48ef-bdcd-475d369f711f,0,0,af18baa4,8160.0,232350.0,46.0,9.0,256.0,2304.0
process,1701282837.111027,1701282842.116741,True,abf3e2f4,f9397e2f-8e1c-499c-800e-5dce5e33db0b,0,0,af18baa4,5011840.0,198390.0,46.0,5012.0,256.0,1283072.0
process,1701282836.934641,1701282841.940493,True,8eee16db,873ee475-9caf-4cfa-bfe5-3b0521be49d5,0,0,2deb2724,5017380.0,228840.0,46.0,5018.0,256.0,1284608.0
generate,1701282836.445804,1701282836.446622,True,4ebd2923,773f89f2-250d-41da-87de-d037f3c59996,0,0,2deb2724,8560.0,223630.0,46.0,9.0,256.0,2304.0
process,1701282836.960905,1701282841.966702,True,d04c45da,f00d235d-9131-4b22-8275-02482696058e,0,0,2deb2724,5014900.0,227750.0,46.0,5015.0,256.0,1283840.0
process,1701282837.063791,1701282842.066109,True,f83151eb,d430398c-ce9c-46bd-ba9d-e6743bee65af,0,0,d1c2d9d8,5009350.0,230610.0,46.0,5010.0,256.0,1282560.0
generate,1701282836.45846,1701282836.459252,True,03cb867d,054ceb8a-94d8-46d2-862e-a2d12881bcf5,0,0,d1c2d9d8,8039.0,226990.0,46.0,9.0,256.0,2304.0
process,1701282837.087686,1701282842.093509,True,1f2c4c98,4801eaf2-021a-4a01-a2be-b21e639f17fa,0,0,d1c2d9d8,5013700.0,233660.0,46.0,5014.0,256.0,1283584.0
generate,1701282836.477,1701282836.477816,True,62c30bc3,9cb7eb23-67ef-498e-bb1b-f692e313a994,0,0,f92f3ae5,9540.0,269550.0,46.0,10.0,256.0,2560.0
process,1701282837.072403,1701282842.078169,True,36a867f5,a16be67b-f680-484b-95c1-8127c6c54c02,0,0,f92f3ae5,5015140.0,231990.0,46.0,5016.0,256.0,1284096.0
process,1701282837.028419,1701282842.0293,True,e555b95b,26b3f423-8fd7-4de0-abb7-2616f3796c07,0,0,f92f3ae5,5009940.0,223510.0,46.0,5010.0,256.0,1282560.0
process,1701282837.145203,1701282842.146003,True,ecacea72,f77dc429-7222-4e48-b4da-9846fdf6e9cc,0,0,fcae091a,5008820.0,234580.0,45.0,5009.0,256.0,1282304.0
process,1701282837.199705,1701282842.200464,True,d0adfa8e,e2350aa8-113e-4c5a-9c39-57df821a853a,0,0,fcae091a,5008390.0,211180.0,46.0,5009.0,256.0,1282304.0
generate,1701282836.543458,1701282836.544236,True,a6f7df8d,64bfef4c-cdb6-4f7b-b65d-b4622b731f50,0,0,fcae091a,20110.0,247300.0,45.0,21.0,256.0,5376.0
process,1701282837.146948,1701282842.152643,True,f7c71f14,9cb4398e-7b85-4941-9e40-53c273c30352,0,0,e47fe815,5014510.0,223410.0,46.0,5015.0,256.0,1283840.0
generate,1701282836.54992,1701282836.550825,True,eac559de,72c05615-08b0-4b1d-8ef6-27c2354064cd,0,0,e47fe815,10460.0,241760.0,45.0,11.0,256.0,2816.0
process,1701282837.044855,1701282842.050567,True,254dcdba,46d44afc-cfcc-481c-b943-7ce52e973784,0,0,e47fe815,5016160.0,199600.0,46.0,5017.0,256.0,1284352.0
generate,1701282836.595477,1701282836.596571,True,6ff5b6eb,1d59335e-8d39-4432-9dd9-5dc506367a43,0,0,c7792246,16880.0,302340.0,46.0,17.0,256.0,4352.0
process,1701282837.161737,1701282842.165427,True,2f5c467b,6ed35222-c057-4e7c-b71f-ac8a1483ca4b,0,0,c7792246,5011590.0,228000.0,45.0,5012.0,256.0,1283072.0
process,1701282837.149767,1701282842.155616,True,f715aaa7,3f25dee7-6224-4b7d-92fe-09a5c072bb90,0,0,c7792246,5014210.0,224080.0,46.0,5015.0,256.0,1283840.0
process,1701282837.070317,1701282842.076131,True,443df355,4d99a7a9-ffc3-4df3-bd40-b81a06d790a2,0,0,a3c6326c,5013650.0,225110.0,46.0,5014.0,256.0,1283584.0
generate,1701282836.512188,1701282836.512973,True,0e874df3,9f57083b-e6bd-4ebf-88bb-841dfa42ad01,0,0,a3c6326c,8060.0,237920.0,45.0,9.0,256.0,2304.0
process,1701282837.089928,1701282842.090792,True,8b16743f,950b49a7-c0cb-4f75-86fa-15d6bac89f2f,0,0,a3c6326c,5008510.0,228210.0,46.0,5009.0,256.0,1282304.0
process,1701282837.1344,1701282842.138118,True,04d0639c,2ecd246d-fa42-4f33-a8de-dff7b8f4660c,0,0,2337202c,5013410.0,227480.0,46.0,5014.0,256.0,1283584.0
generate,1701282836.580052,1701282836.580868,True,03ffd023,d4e9fc61-e60d-4d39-a1d2-615ce2a06c7b,0,0,2337202c,8540.0,232380.0,46.0,9.0,256.0,2304.0
process,1701282837.1009,1701282842.106754,True,b2ffc45e,80d1f111-8b67-4725-85df-c9455ef9cf91,0,0,2337202c,5013340.0,221200.0,46.0,5014.0,256.0,1283584.0
process,1701282837.105776,1701282842.106561,True,3ba4f54d,82ad9207-66b6-4166-969d-a5cfbdee0a67,0,0,baf83ae5,5009460.0,222590.0,46.0,5010.0,256.0,1282560.0
process,1701282837.126051,1701282842.129172,True,adcabaca,5deb0a7d-0758-42ce-b1f8-a55e8081b884,0,0,baf83ae5,5015260.0,228000.0,46.0,5016.0,256.0,1284096.0
generate,1701282836.531699,1701282836.532408,True,f279cf00,e84afaea-faff-480a-9fc8-d75e99fcde25,0,0,baf83ae5,14580.0,234630.0,46.0,15.0,256.0,3840.0
generate,1701282836.707876,1701282836.708658,True,616224ee,26f148b2-27e0-44ae-a51a-15430afbab28,0,0,9cfae795,12490.0,234420.0,46.0,13.0,256.0,3328.0
process,1701282837.273711,1701282842.279619,True,b35e6f25,36938642-a29c-4969-98aa-6d259e9c85c4,0,0,9cfae795,5012150.0,236730.0,46.0,5013.0,256.0,1283328.0
process,1701282837.224607,1701282842.228288,True,3c57a0ba,1622826d-8c81-4bd1-aa38-9b60745690a5,0,0,9cfae795,5013850.0,229820.0,46.0,5014.0,256.0,1283584.0
process,1701282837.058287,1701282842.062009,True,cd29397c,732d9395-72cc-4be4-a87c-4f65d268945c,0,0,cc33823d,5010150.0,204580.0,46.0,5011.0,256.0,1282816.0
generate,1701282836.642804,1701282836.64359,True,fb3967ca,e9e2c22a-1f9b-42fc-825c-cb12a4ebaf9c,0,0,cc33823d,6700.0,253340.0,46.0,7.0,256.0,1792.0
process,1701282837.152406,1701282842.15825,True,534bc46f,0520b782-6372-41be-90d5-c59f2a562c60,0,0,cc33823d,5013680.0,233920.0,46.0,5014.0,256.0,1283584.0
generate,1701282836.713005,1701282836.713839,True,46a8a5ee,a5bc8135-152e-422c-9b65-9a49382f5400,0,0,12187b64,19950.0,238680.0,46.0,20.0,256.0,5120.0
process,1701282837.257759,1701282842.261324,True,391e2820,c67174b9-be53-46e3-be68-b7c6580da241,0,0,12187b64,5019980.0,224890.0,46.0,5020.0,256.0,1285120.0
process,1701282837.323541,1701282842.327267,True,b8dd7814,a960882f-5e80-49ad-8bf5-a0ce5743b422,0,0,12187b64,5011910.0,243630.0,46.0,5012.0,256.0,1283072.0
process,1701282837.083963,1701282842.08981,True,d2cc3cc4,d217aa13-8dd9-4f34-98e7-b104c0f7320e,0,0,edf00842,5013440.0,238750.0,46.0,5014.0,256.0,1283584.0
