func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
summarize,1706287533.146425,1706287533.146507,False,cdce0455,d8cea25c-3d52-4c2e-9e0d-c6e812c3a2e3,0,0,72aef526,5540.0,0.0,60.0,6.0,2048.0,12288.0
analyse,1706287512.514959,1706287532.555931,True,4ad70f84,899efcd6-2bde-4ec6-a841-a7d1205c6f84,0,124596129,72aef526,20052550.0,232580.0,1138.0,20053.0,2048.0,41068544.0
analyse,1706287512.506521,1706287533.016013,True,db46c312,2b2bd536-4176-4e72-9647-92cdfb354e24,0,124525957,72aef526,20519480.0,233610.0,1137.0,20520.0,2048.0,42024960.0
decode,1706287508.190339,1706287510.989446,True,8cda0c25,a04272e6-c0d0-4bbe-b2aa-0f2c310081f7,7840386,1309217,72aef526,2806140.0,204650.0,189.0,2807.0,2048.0,5748736.0
summarize,1706287533.424111,1706287533.4242,False,cdce0455,91b2bc20-faaf-4a96-b768-1328ec642cf1,0,0,0e9355b9,7050.0,0.0,60.0,8.0,2048.0,16384.0
analyse,1706287512.573012,1706287532.092429,True,e65d7b68,6a384438-42e3-45b0-a306-c705f1bc8970,0,124525957,0e9355b9,19525050.0,191970.0,1149.0,19526.0,2048.0,39989248.0
decode,1706287508.206239,1706287511.373324,True,ba023519,9eaf2e38-bf3a-4fbc-b674-87b6be78bacd,7840386,1309217,0e9355b9,3174080.0,246620.0,189.0,3175.0,2048.0,6502400.0
analyse,1706287512.634427,1706287533.288619,True,ef997e2e,61b42065-8589-435a-a6df-2d8453c2a534,0,124596129,0e9355b9,20661590.0,238380.0,1142.0,20662.0,2048.0,42315776.0
summarize,1706287535.386667,1706287535.386749,False,965f1035,2027e04a-001b-425b-a733-a0c25ac551cc,0,0,b99eaa3c,8150.0,0.0,59.0,9.0,2048.0,18432.0
decode,1706287508.275584,1706287511.173073,True,5f4ce09c,d825ec2e-49ba-4952-a0ed-8cbcb2091ce2,7840386,1309217,b99eaa3c,2907020.0,272800.0,189.0,2908.0,2048.0,5955584.0
analyse,1706287512.538448,1706287532.837536,True,38ed27dc,369523fc-5730-4b3f-a050-f79b0cd4cb72,0,124596129,b99eaa3c,20282970.0,239400.0,1137.0,20283.0,2048.0,41539584.0
analyse,1706287512.464772,1706287535.195877,True,7e893279,c55628e9-0f27-4625-9389-3f5eb8df1bf1,0,124525957,b99eaa3c,22740270.0,184150.0,1136.0,22741.0,2048.0,46573568.0
summarize,1706287533.79464,1706287533.794725,False,cdce0455,85fa3588-d4a8-4b3c-94fa-899a0df42835,0,0,846d7546,7130.0,0.0,61.0,8.0,2048.0,16384.0
analyse,1706287509.270818,1706287533.629799,False,843da1c3,33a11125-840a-4305-8db0-52727b040d05,0,124525957,846d7546,24370150.0,0.0,1151.0,24371.0,2048.0,49911808.0
analyse,1706287509.276084,1706287527.973998,False,cc7bc3a9,a276f538-4506-4dba-ac27-a4ff02fca67d,0,124596129,846d7546,18707200.0,0.0,1156.0,18708.0,2048.0,38313984.0
decode,1706287507.017289,1706287509.066473,False,5ea48058,54cf0956-c2a5-429e-b926-93145cc6c7f0,7840386,1309217,846d7546,2055400.0,0.0,200.0,2056.0,2048.0,4210688.0
analyse,1706287850.195052,1706287869.995012,False,fff6b6f4,665e64ba-78d7-4e77-9820-60af5092c6f8,0,124525957,d0529d9b,19822380.0,0.0,1157.0,19823.0,2048.0,40597504.0
summarize,1706287870.445734,1706287870.445812,False,cc09d2a9,6252c3ba-b5d7-4690-b587-b8d923ed9bf8,0,0,d0529d9b,8860.0,0.0,59.0,9.0,2048.0,18432.0
analyse,1706287850.202503,1706287870.305172,False,fd6d11dd,855aea5a-4b43-41d7-bf34-1b5512edf9c9,0,124596129,d0529d9b,20111590.0,0.0,1152.0,20112.0,2048.0,41189376.0
decode,1706287847.757506,1706287849.959832,False,60d74778,6f58f9e2-ed4b-4f23-af46-895a25f9b41c,7840386,1309217,d0529d9b,2231910.0,0.0,200.0,2232.0,2048.0,4571136.0
summarize,1706287870.035364,1706287870.035449,False,965f1035,57827980-4d9e-4905-afd9-c0286b49bbd4,0,0,743277e1,9950.0,0.0,60.0,10.0,2048.0,20480.0
decode,1706287848.064655,1706287850.059025,False,0a6a1e0e,803f7684-3278-416c-9bef-841fe6f8f80a,7840386,1309217,743277e1,2002010.0,0.0,200.0,2003.0,2048.0,4102144.0
analyse,1706287850.278455,1706287869.822352,False,792800aa,e270b651-de25-4139-bcb1-d8afb9a9d45f,0,124596129,743277e1,19550650.0,0.0,1157.0,19551.0,2048.0,40040448.0
analyse,1706287850.252329,1706287869.222322,False,bfcdd6e8,fec7424e-3f31-44d6-8f08-6e9854f2f612,0,124525957,743277e1,18980280.0,0.0,1152.0,18981.0,2048.0,38873088.0
summarize,1706287869.682567,1706287869.682653,False,965f1035,42e04e44-91e3-4d74-85a6-b867ef5862f2,0,0,e292e305,7470.0,0.0,60.0,8.0,2048.0,16384.0
analyse,1706287850.577436,1706287869.512194,False,3a4f2d8c,85e16c13-9a80-471e-a219-4252012710b4,0,124525957,e292e305,18941870.0,0.0,1162.0,18942.0,2048.0,38793216.0
decode,1706287848.195415,1706287850.355096,False,88c2cecb,6e60334b-320c-42f2-a25d-b539519bf311,7840386,1309217,e292e305,2166350.0,0.0,200.0,2167.0,2048.0,4438016.0
analyse,1706287850.590488,1706287869.17019,False,7714b8d3,1c526637-2cb0-473f-8fc7-2cc4278ccbf7,0,124596129,e292e305,18589610.0,0.0,1155.0,18590.0,2048.0,38072320.0
decode,1706287848.004477,1706287849.959816,False,59577f17,b051f24a-eaa3-468d-9acf-6f7a7d920ed0,7840386,1309217,cef8a8fd,1962100.0,0.0,201.0,1963.0,2048.0,4020224.0
analyse,1706287850.121835,1706287869.872114,False,a020c091,3a2a9b93-dc24-4520-b00d-875834a20b07,0,124525957,cef8a8fd,19758950.0,0.0,1160.0,19759.0,2048.0,40466432.0
summarize,1706287871.086317,1706287871.086399,False,cc09d2a9,9cba66d5-5bab-464d-bb19-c8179a5bf0f2,0,0,cef8a8fd,15070.0,0.0,60.0,16.0,2048.0,32768.0
analyse,1706287850.109278,1706287870.884792,False,7e893279,3f173472-d61f-400c-83dd-fa5fece40a89,0,124596129,cef8a8fd,20782940.0,0.0,1157.0,20783.0,2048.0,42563584.0
analyse,1706287850.029762,1706287872.945873,False,91ad70bb,11e9724c-e41f-409e-8312-e6f30b95d8dc,0,124596129,7b11e66d,22923040.0,0.0,1159.0,22924.0,2048.0,46948352.0
summarize,1706287873.070975,1706287873.071054,False,cdce0455,f1bc4fd2-06be-4373-a403-f07c31bdd3ee,0,0,7b11e66d,5410.0,0.0,61.0,6.0,2048.0,12288.0
decode,1706287848.0971,1706287849.873243,False,ba023519,6af64b17-7e6d-465f-83b0-395dd562deea,7840386,1309217,7b11e66d,1782010.0,0.0,200.0,1783.0,2048.0,3651584.0
analyse,1706287850.049506,1706287872.565487,False,23f7f569,5e1f10c1-d92b-4f28-aba2-bcac2e51dcf7,0,124525957,7b11e66d,22530710.0,0.0,1153.0,22531.0,2048.0,46143488.0
analyse,1706287850.768892,1706287869.817492,False,ef997e2e,36197333-be95-42bc-afac-e9011fa89ef2,0,124596129,0eab1017,19056460.0,0.0,1163.0,19057.0,2048.0,39028736.0
summarize,1706287870.075091,1706287870.07517,False,cc09d2a9,64bd1bb2-6dd3-46e5-915c-091e9f9b33cb,0,0,0eab1017,10000.0,0.0,59.0,11.0,2048.0,22528.0
analyse,1706287850.810854,1706287869.912887,False,26f9d699,95b82f20-4356-4dfa-8885-458616e494d8,0,124525957,0eab1017,19112240.0,0.0,1159.0,19113.0,2048.0,39143424.0
decode,1706287848.356722,1706287850.603768,False,27163600,c61d10a5-03b7-4c2c-85ef-c6e3bc433a21,7840386,1309217,0eab1017,2254560.0,0.0,199.0,2255.0,2048.0,4618240.0
analyse,1706287850.825473,1706287870.365781,False,923e7ee5,bce84b16-4a2a-4d4a-a977-aae24142db3e,0,124525957,5de2a09b,19548670.0,0.0,1147.0,19549.0,2048.0,40036352.0
