func,start,end,is_cold,container_id,provider.request_id,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
analyse,1655287714.303471,1655287729.170425,False,cafcaa74,7f6443a0-c537-42c9-a147-85eaea223a7a,27e1a68d,14871670.0,0.0,708.0,14872.0,2048.0,30457856.0
analyse,1655287714.306355,1655287729.266001,False,3210c713,0ec65d80-bd88-4f86-b13b-7555b6624fe5,27e1a68d,14964570.0,0.0,702.0,14965.0,2048.0,30648320.0
decode,1655287712.414408,1655287714.125651,False,7d0fa088,8a38ae0d-0b32-47a4-ad3e-e81f8e13222e,27e1a68d,1717760.0,0.0,221.0,1718.0,2048.0,3518464.0
summarize,1655287729.333226,1655287729.333294,False,07e0e92e,7298e03a-0cf4-46fd-8df1-0b5b98da0cb3,27e1a68d,6350.0,0.0,60.0,7.0,2048.0,14336.0
decode,1655287711.602299,1655287713.305257,False,490b0ba5,2c42ceb4-608f-4914-9b42-2b83e386c1f4,c14d4cac,1708460.0,0.0,222.0,1709.0,2048.0,3500032.0
summarize,1655287728.634956,1655287728.635026,False,77c79cf4,e936ce3d-9379-48ff-a3f0-4fd893f193b2,c14d4cac,4340.0,0.0,60.0,5.0,2048.0,10240.0
analyse,1655287713.474034,1655287728.580679,False,2bf90287,784e3165-ce1d-48cb-aa1c-fb26bb6e5865,c14d4cac,15111360.0,0.0,717.0,15112.0,2048.0,30949376.0
analyse,1655287713.483989,1655287728.485916,False,e453b78b,728696b5-1b38-49e7-a0a4-d372367a3362,c14d4cac,15008840.0,0.0,705.0,15009.0,2048.0,30738432.0
decode,1655287711.581305,1655287713.721002,False,bc492d08,46377fa8-bfe3-43d1-9b0d-055afca94b15,911f214f,2144760.0,0.0,221.0,2145.0,2048.0,4392960.0
summarize,1655287728.920145,1655287728.920212,False,07e0e92e,1b56d0fd-caf4-4a88-b6cf-49efffc87460,911f214f,6100.0,0.0,60.0,7.0,2048.0,14336.0
analyse,1655287713.917773,1655287728.742938,False,6fc9ab5c,045b2e4e-9cef-419e-9d9e-767f1bc69c93,911f214f,14833000.0,0.0,707.0,14833.0,2048.0,30377984.0
analyse,1655287713.909761,1655287728.866144,False,a375f263,d053b19c-f3dc-4188-8208-e36233e911be,911f214f,14963930.0,0.0,707.0,14964.0,2048.0,30646272.0
analyse,1655287713.523174,1655287728.725473,False,b63ba6ad,c8467c0d-c5e7-476f-a9d0-99c7cadb9eb9,670c3f5d,15207000.0,0.0,708.0,15207.0,2048.0,31143936.0
analyse,1655287713.524067,1655287728.433297,False,e47fd624,23b14a46-14cb-4f84-92a6-9e347917019a,670c3f5d,14914490.0,0.0,705.0,14915.0,2048.0,30545920.0
summarize,1655287728.771164,1655287728.771238,False,07e0e92e,2937a911-1b41-45bf-bde0-af5b648ad973,670c3f5d,6290.0,0.0,60.0,7.0,2048.0,14336.0
decode,1655287711.597778,1655287713.35396,False,f3e712aa,03af5736-16b2-4d19-90fc-8a7546f5647f,670c3f5d,1764480.0,0.0,222.0,1765.0,2048.0,3614720.0
decode,1655287711.710512,1655287713.381678,False,4c303fa4,932f3618-5cbf-4ad0-93c4-83052a87492e,f1cff9fd,1675960.0,0.0,222.0,1676.0,2048.0,3432448.0
