,func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
0,decode,1706228506.804459,1706228508.821454,False,8a4132ba,bdfae52e-8f72-45d5-ad54-4364c44b8696,15680772.0,2618434.0,dd01aaed
1,analyse,1706229137.491826,1706229174.892248,False,6ca1df36,8a35bd2f-fd54-4509-99a8-fede191aaa63,0.0,249192258.0,dd01aaed
2,summarize,1706229214.869169,1706229214.877041,False,e4d6ca7d,513c6e3d-bc0c-49f2-a13c-92fb62d6684b,0.0,0.0,dd01aaed
3,analyse,1706228510.762775,1706228550.6105,True,479b878b,77c3e126-8d50-48ae-aa9c-9864492f711d,0.0,249051914.0,dd01aaed
4,run_workflow,1706229215.101923,1706229215.120158,,,,,,dd01aaed
5,analyse,1706229124.238926,1706229158.581733,False,479b878b,a9a712cf-a24d-4487-a419-6170343f2249,0.0,249192258.0,1d3f8127
6,decode,1706228571.499707,1706228573.380858,False,479b878b,573663b4-0ae4-4ca7-a3e4-380997ac448e,15680772.0,2618434.0,1d3f8127
7,analyse,1706229158.604059,1706229191.304667,False,479b878b,eb20d5fe-b0e0-4323-85df-9b09d63286b9,0.0,249051914.0,1d3f8127
8,run_workflow,1706229192.712528,1706229192.715349,,,,,,1d3f8127
9,summarize,1706229192.583374,1706229192.585124,False,479b878b,72cd48fb-9a12-448d-a76e-8f3daa8e3cab,0.0,0.0,1d3f8127
10,analyse,1706228990.40153,1706229026.367865,False,715329ff,884db628-e4e6-4c84-90f2-dea9eb3898db,0.0,249051914.0,fa0b664d
11,decode,1706228479.748213,1706228484.675786,False,e4d6ca7d,a9bb88b1-2895-4508-9dfb-9af1c3bb5229,15680772.0,2618434.0,fa0b664d
12,summarize,1706229038.530633,1706229038.532901,False,8cc2418f,940142a9-3f04-453e-abf2-4f5f11826782,0.0,0.0,fa0b664d
13,run_workflow,1706229038.613081,1706229038.614702,,,,,,fa0b664d
14,analyse,1706228954.059882,1706228990.388679,False,715329ff,bf684fe1-cc2d-4315-bac8-adfda7d6826b,0.0,249192258.0,fa0b664d
15,analyse,1706229058.919915,1706229091.700176,False,479b878b,a2fdb36d-accb-4466-811a-c81a57d4aa1c,0.0,249192258.0,9cd9aa78
16,decode,1706228569.137552,1706228571.457406,False,479b878b,65ba9e3c-b91f-409e-bcca-f8cc0c859cd2,15680772.0,2618434.0,9cd9aa78
17,summarize,1706229192.317468,1706229192.319727,False,479b878b,5ce04276-0a01-45d2-9b5d-d99b7a2fc1c7,0.0,0.0,9cd9aa78
