func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
reduce,1704815939.512048,1704815941.835324,True,f6daea41,add82953-75ba-4c57-ba39-6d4b28b5d9e5,0,9,cfdf1268,2344380.0,218120.0,81.0,2345.0,256.0,600320.0
map,1704815933.759649,1704815936.150954,True,bc4bc244,dc0068e8-0401-42de-928b-a24e25b2e8d3,15,7661,cfdf1268,2398720.0,227210.0,81.0,2399.0,256.0,614144.0
split,1704815930.827463,1704815933.173722,True,b249bf0a,2a006ed1-642c-43ba-b6f7-6d8ff39b9766,23001,23000,cfdf1268,2352370.0,219610.0,81.0,2353.0,256.0,602368.0
map,1704815933.76629,1704815936.175979,True,f09f9bd8,094af1c6-5e26-4931-84ee-5e083e8d626d,15,7670,cfdf1268,2416400.0,218660.0,81.0,2417.0,256.0,618752.0
reduce,1704815939.494817,1704815941.880259,True,1524ae6e,a7546e71-7b70-401a-bad5-cb3e63f93d3a,0,9,cfdf1268,2408810.0,218250.0,81.0,2409.0,256.0,616704.0
reduce,1704815939.435445,1704815941.746256,True,12b7ef06,4928c903-89eb-48d2-9412-00974f45c0e2,0,9,cfdf1268,2318340.0,221990.0,82.0,2319.0,256.0,593664.0
map,1704815933.737501,1704815936.095545,True,2e0176a3,92b34be2-9680-4bf9-9aeb-525a04eb6017,15,7670,cfdf1268,2370240.0,225470.0,81.0,2371.0,256.0,606976.0
reduce,1704815939.457974,1704815941.740696,True,f98518cf,09507010-c588-4fb5-a809-15f88c886d62,0,9,cfdf1268,2304820.0,214760.0,81.0,2305.0,256.0,590080.0
reduce,1704815939.537387,1704815941.942685,True,5cecbff6,41737198-4a88-4075-8efe-6d068ea304b3,0,9,cfdf1268,2426560.0,216500.0,81.0,2427.0,256.0,621312.0
shuffle,1704815936.675507,1704815938.948064,True,7168532b,fd17bff6-8cd0-48ce-bbfa-4c1580f5bb9a,0,0,cfdf1268,2307510.0,242120.0,81.0,2308.0,256.0,590848.0
reduce,1704815940.174515,1704815942.484637,True,f8312c9e,fe7a9b48-15ac-4192-80eb-bebe347aa18e,0,9,da38adb2,2333930.0,213860.0,81.0,2334.0,256.0,597504.0
reduce,1704815940.056331,1704815942.345921,True,6d879562,5889e408-1cfa-4991-9e13-315f2d93c338,0,9,da38adb2,2298490.0,191990.0,81.0,2299.0,256.0,588544.0
