func,start,end,is_cold,container_id,provider_request_id,request_id
map,1654707555.574957,1654707561.485303,True,f024761f,577aa182-d2b7-4161-b34e-7dd5f18c9cd1,f3c396c1
reduce,1654707567.918659,1654707573.47483,True,e193c0f0,85cb4ca9-f5aa-4e57-8283-68e7f888bdc6,f3c396c1
reduce,1654707567.823056,1654707573.634413,True,5e147b91,3a4362c1-daec-47a4-852e-4d2a8c300c4b,f3c396c1
reduce,1654707567.958489,1654707573.976462,True,ddd16c17,7e4acc43-f359-4fee-a379-bca92256c350,f3c396c1
split,1654707549.200187,1654707555.066531,True,30ae2524,5dd7849c-30cb-4d22-8ad2-26cce8771aa4,f3c396c1
reduce,1654707567.888554,1654707573.564227,True,cc3094a9,e209cf3c-6758-42b6-9165-ed683cc6a046,f3c396c1
shuffle,1654707562.016329,1654707567.270788,True,d63700ec,06adff61-7188-49dc-b3d2-404343e765cc,f3c396c1
map,1654707555.578352,1654707561.083465,True,94809837,22f922b5-baf5-4e87-aa6f-8f5e032811bd,f3c396c1
map,1654707555.62854,1654707561.58409,True,85c65312,e1bb83ab-007f-4351-94e1-2053cd2344a0,f3c396c1
reduce,1654707567.822466,1654707573.442397,True,b89d229f,e8d66710-0ac6-4e62-9add-e8d82fbac7cd,f3c396c1
reduce,1654707567.974567,1654707573.716858,True,6095d660,cfc8a530-638e-4c68-9391-d835f5a67f5d,1c34e34d
split,1654707549.153849,1654707554.970755,True,4991a8fa,4fb62088-9d34-4cef-a73f-db0959f204c7,1c34e34d
map,1654707555.569526,1654707561.357134,True,522bf285,2418db73-6cc2-4a5f-a93c-97e9b433910c,1c34e34d
reduce,1654707567.96201,1654707573.664366,True,02b2066d,7430dac5-2bd3-4444-86c6-822d6ea64612,1c34e34d
reduce,1654707567.957468,1654707573.406553,True,df86760b,5bd4b54e-87f8-44cb-937b-00ea3c46d22a,1c34e34d
map,1654707555.490509,1654707561.306105,True,daf932d8,9f47c852-20ef-4ea8-94e6-b3a696abd49d,1c34e34d
map,1654707555.536505,1654707561.108006,True,5bfc7571,f3c8442c-7f7b-4a56-95d8-860481352a0e,1c34e34d
reduce,1654707567.975962,1654707573.785519,True,cc8e4b4e,4816afe5-5b2e-4983-afb3-cad91dde361c,1c34e34d
shuffle,1654707561.818239,1654707567.417461,True,f6493d14,4e9c6833-4e0c-43e5-87d0-ab275305e0fd,1c34e34d
reduce,1654707567.975173,1654707573.453808,True,cea7cd95,f09be4ff-d6c1-4923-b4b3-bc6a2d62f181,1c34e34d
reduce,1654707567.787568,1654707573.349304,True,29080c9c,31cccf02-e547-4e78-80e3-bd7178f91b8a,bdd0f1c2
reduce,1654707567.795634,1654707573.474966,True,b20ef93b,3f872d0b-27e6-4c6b-96be-7d4cb8b707a9,bdd0f1c2
reduce,1654707567.748268,1654707573.056518,True,74ca714f,b1b3df8c-b8dc-460f-802a-327b099871c9,bdd0f1c2
map,1654707555.294309,1654707561.055735,True,99c1ff33,9cef98ea-5e5c-4f7a-b1be-0eab2f332216,bdd0f1c2
reduce,1654707567.790734,1654707573.53955,True,d9e7311b,03540988-9d09-46d4-af8d-1030b71e576e,bdd0f1c2
map,1654707555.327052,1654707561.417246,True,574482eb,bcd7d085-f52c-41d4-b06c-9fc0221d1233,bdd0f1c2
reduce,1654707567.84481,1654707573.505944,True,53533402,f9579be6-7220-485d-85ed-443370a4bd36,bdd0f1c2
split,1654707549.168664,1654707554.744236,True,9652953a,797e438d-4eb7-4465-b843-c32fe9a3f602,bdd0f1c2
map,1654707555.298947,1654707561.163594,True,24ebbc93,8d00ad88-9f04-4c32-a8b0-ce1a22804afd,bdd0f1c2
shuffle,1654707561.826064,1654707566.938588,True,4929c256,e2e9752b-5877-4720-89c2-585fdcf0414f,bdd0f1c2
split,1654707549.152819,1654707554.866842,True,7614e937,5e303f54-9b94-4bb3-acaf-6c263597ee1a,6b9c5dc2
shuffle,1654707561.997223,1654707567.036331,True,b91ec912,f0db4cc1-15f4-46ce-b527-c2bc069e1398,6b9c5dc2
reduce,1654707567.606822,1654707573.122702,True,3e1f12c9,adf4602a-40f8-4109-a22b-b14c07287cea,6b9c5dc2
map,1654707555.404871,1654707561.567546,True,2d2e75c1,c7a2ccc2-1201-43f0-a97e-b6084f96668a,6b9c5dc2
reduce,1654707567.581015,1654707573.414368,True,bcb8f746,7e2af85c-6fb1-4fda-8497-195d88d050b1,6b9c5dc2
map,1654707555.397554,1654707561.224396,True,60c1b68e,12f64b1e-7894-4abb-b32b-ee864e94be09,6b9c5dc2
reduce,1654707567.601561,1654707573.435377,True,af8b56e9,a85d461f-75aa-406e-83af-a8a684ca5f64,6b9c5dc2
reduce,1654707567.625354,1654707573.302424,True,5d425cb3,e93ec94c-2541-4a21-93c2-6f7c6f8ee346,6b9c5dc2
reduce,1654707567.610157,1654707573.249493,True,390e62db,f30469cf-b8fc-422e-9d56-529801fa75c4,6b9c5dc2
map,1654707555.361052,1654707561.001127,True,ae9f0b56,8d2b485c-aa2f-479c-b378-9791410e106e,6b9c5dc2
map,1654707555.267106,1654707560.867926,True,075c8f46,d3257979-524b-48b2-973e-58089aa77b67,a66b21cb
reduce,1654707567.867713,1654707572.930176,True,06ee821e,94aae944-b378-4b04-974e-ce75144b37ed,a66b21cb
map,1654707555.27561,1654707560.987903,True,d9887627,73a3a2a6-426f-4453-bda5-acfb4fabff77,a66b21cb
shuffle,1654707562.28883,1654707567.369969,True,8e12f736,f14f86a5-2a06-44e8-8595-085f042679ab,a66b21cb
split,1654707549.171402,1654707554.771243,True,2433bb69,f2b3b30c-9319-431a-adc1-34263e6d92b8,a66b21cb
reduce,1654707567.909356,1654707573.364334,True,d8c60ad8,805a4ac6-b252-40c2-b00c-e96739e20a60,a66b21cb
reduce,1654707567.897771,1654707573.439391,True,4927dfc7,c848cf99-8fc2-4953-a1d2-baceb5271e71,a66b21cb
reduce,1654707567.885128,1654707573.289623,True,84a68053,9cc301ca-3b82-4bad-8e6d-737170116664,a66b21cb
map,1654707555.424133,1654707561.878109,True,a4d15932,ffdafbdb-038c-4906-bdd2-a5376c694314,a66b21cb
reduce,1654707567.883781,1654707573.540749,True,d7c084c0,63c488d8-f860-44c5-a6dc-98174b3d0a02,a66b21cb
reduce,1654707567.315912,1654707572.786534,True,f4f80d14,f0b7f0e7-0a5f-4e67-a058-ef63ab4cfc78,e205c5d6
map,1654707555.543782,1654707561.171007,True,da3cddc1,fa953561-a4aa-4ae1-9d29-687bc3c1a10b,e205c5d6
reduce,1654707567.384962,1654707573.125648,True,0fe0278a,d35344b6-c96b-419a-8e3a-76732008023d,e205c5d6
reduce,1654707567.405434,1654707573.00321,True,d4310fb5,ba5a05f3-f430-4805-bf38-06dd0184753e,e205c5d6
reduce,1654707567.363266,1654707573.44842,True,dff82bd3,58e08cc2-753f-48df-9d94-63a737aba101,e205c5d6
map,1654707555.628871,1654707561.197467,True,ab58df3a,516ed144-24e4-4356-af2c-60efd0dbc024,e205c5d6
split,1654707549.368644,1654707555.067791,True,aa6e8d22,28f193a0-dabf-4b0e-a196-5af941aaea34,e205c5d6
map,1654707555.573548,1654707561.237219,True,295efff3,9ccb75ab-9581-4a36-8141-5349613668b4,e205c5d6
reduce,1654707567.316063,1654707572.867871,True,eb2c6326,d99af876-c782-4975-abd2-cb688c0cfa71,e205c5d6
shuffle,1654707561.613534,1654707566.79928,True,4ddb1d8b,58567a85-cc73-4fe8-805c-2ac64dcda7ca,e205c5d6
map,1654707555.823778,1654707561.605553,True,03cb38d2,76859c6f-96b5-44ea-9add-2c9b2d806b59,2638494f
reduce,1654707567.994262,1654707573.624121,True,c1b1e364,9e682ba3-bb64-4718-9973-3aa8d59bf1bc,2638494f
reduce,1654707568.012682,1654707573.464655,True,8177a520,259adcfd-8c89-4714-9dc7-965ad570ce8b,2638494f
shuffle,1654707562.301853,1654707567.511689,True,dc838bdb,b847b1af-1fcd-4974-8256-d936f1c1455c,2638494f
reduce,1654707568.006989,1654707573.493886,True,69b0f32f,2476475f-6178-4e12-aee9-02e02f604bcb,2638494f
reduce,1654707568.093846,1654707574.020506,True,2f42070d,0f0fd9e6-211c-44bd-9f2b-c23edb3891bb,2638494f
reduce,1654707568.053187,1654707573.715654,True,9e41ef2d,8aad4572-aad2-433e-a3ec-9c914c7e2e8c,2638494f
map,1654707555.899902,1654707561.961417,True,479b91f9,62086140-bf33-49fd-8be3-6f3e04666dce,2638494f
map,1654707555.844196,1654707561.402363,True,6ca21c4d,e3de8ce1-b0dd-4de0-a0c0-50659cc65c18,2638494f
split,1654707549.300777,1654707555.312648,True,ad24da7b,928cc71c-8397-4a85-9e69-3f79604cf194,2638494f
reduce,1654707568.336768,1654707573.85022,True,4711efc4,24202013-d0e6-4085-a241-f720da7e0d33,d68adb7d
shuffle,1654707562.771126,1654707567.802006,True,4a11d86a,3866d8fb-11a0-4ee5-94b2-4291f2fe27a8,d68adb7d
map,1654707556.28094,1654707562.327195,True,6f80e27f,f247b660-819b-4083-8490-fb6fd2f883de,d68adb7d
reduce,1654707568.3568,1654707574.247405,True,5c1298a9,a95316b7-8b68-45d0-a9c1-0d26895367b4,d68adb7d
reduce,1654707568.374405,1654707574.385775,True,fb6ab873,69c8c815-b9f7-458a-9fe5-6a17427e09be,d68adb7d
reduce,1654707568.369189,1654707573.887497,True,13b63f08,c929d33b-8523-41e6-91a7-55e66523f927,d68adb7d
map,1654707556.225826,1654707561.953233,True,a74c366a,5576a9ab-78bc-4e51-806c-886e45b1e8ff,d68adb7d
reduce,1654707568.329023,1654707574.123468,True,9eeae39d,acea0bd4-5b4e-4555-b67b-2b8bc43be897,d68adb7d
split,1654707549.223885,1654707555.753789,True,093fe661,3b3bce81-a9bb-40c2-96f5-6769b7068447,d68adb7d
map,1654707556.783216,1654707562.383222,True,79646e47,4a9987d2-ee0a-4531-ae83-a2478654ca54,d68adb7d
map,1654707555.412986,1654707561.747675,True,f2323099,2ade344e-13d5-4de8-af25-1eea836f22b0,034911c9
reduce,1654707568.232982,1654707573.730213,True,3b9d698d,8768f32e-42ff-4df5-9dd6-490ec984bdb0,034911c9
shuffle,1654707562.160688,1654707567.671933,True,6438ade7,c7830f97-7997-45fb-88cf-712f358f0e71,034911c9
reduce,1654707568.264779,1654707573.844197,True,2f87ae9f,626851e9-2c5b-4a7e-8300-22b26a885091,034911c9
map,1654707555.314464,1654707561.301872,True,850c7edd,067ce972-573a-4ba9-bbe4-d634894127ba,034911c9
reduce,1654707568.446049,1654707574.81779,True,3dc23015,bdb9f293-eddf-467c-9a52-af50e8d5eae2,034911c9
split,1654707549.16795,1654707554.798479,True,972a6d25,4e4298ef-4f36-46c4-9e0c-dc47bf5e4ece,034911c9
reduce,1654707568.340249,1654707574.448884,True,ee993d5b,2016f6ca-c86c-4aea-abc7-3ecd7c4c11bf,034911c9
reduce,1654707568.239419,1654707573.75021,True,464c00e3,c9f3b75a-cc18-4501-b875-4748099a7092,034911c9
map,1654707555.325648,1654707561.136726,True,3891923e,6f9ffdea-ea00-4861-bfe9-2fb545bbc9a2,034911c9
reduce,1654707567.411583,1654707573.002022,True,ac311bda,3dda9738-0b83-46fb-b43d-829c9cef1b90,eeb217b3
map,1654707555.411183,1654707561.225636,True,143f7ed0,f17b1d70-6dfb-4404-956a-efb716fdbf6d,eeb217b3
map,1654707555.376875,1654707561.196346,True,7a0c0f75,1723b0a3-4b39-4b53-af55-6ea74a810c20,eeb217b3
reduce,1654707567.444298,1654707573.158045,True,04978c06,446890c9-a547-4649-b342-808d564f8e86,eeb217b3
map,1654707555.388463,1654707561.112784,True,f3a37937,d143bd64-d870-4395-b56f-a1cdbfa05ae7,eeb217b3
reduce,1654707567.382055,1654707572.786541,True,14e94d2f,74ed48ca-1415-4c24-b3a9-f6e50132ee09,eeb217b3
shuffle,1654707561.59505,1654707566.793349,True,888cb9f1,9edcf609-b54a-48b7-820a-bb6e13997e75,eeb217b3
reduce,1654707567.408542,1654707572.808988,True,437853d1,e915f212-77a9-4655-a91d-89c034b78f88,eeb217b3
reduce,1654707567.477106,1654707573.170274,True,dc7ea715,83458e21-e663-452a-b4ea-365be9aa1422,eeb217b3
