func,start,end,is_cold,container_id,provider.request_id,request_id
reduce,1655122818.305686,1655122823.650594,True,b6c92ab4,251b8727-5053-4a6b-8779-6f49a19938a3,5747a3c1
reduce,1655122818.34616,1655122824.286592,True,31ed7259,872a59f1-71a0-4d50-8260-9813dc4dd55e,5747a3c1
split,1655122800.532593,1655122805.719165,True,33f9dded,9557ee7b-13f5-43c8-be10-a3719db7c4b8,5747a3c1
reduce,1655122818.358751,1655122823.746784,True,2b6068ff,8c41f143-2fe1-4940-8a91-539749cc57d0,5747a3c1
map,1655122806.261291,1655122812.141101,True,b7415be2,dcadb40b-cd66-4c36-99ba-1886eb2cb8f6,5747a3c1
reduce,1655122818.383332,1655122823.79825,True,a78ab2bb,b4dc90cc-3024-41cf-b07b-b1740a018bce,5747a3c1
shuffle,1655122812.551568,1655122817.787262,True,dd82aa01,50d11d04-7357-46cf-9c3d-5347fa8d62a4,5747a3c1
reduce,1655122818.359584,1655122823.825117,True,5567f5e8,f528b5cc-bacd-4e4e-b41b-f7f6350fb98b,5747a3c1
map,1655122806.256025,1655122812.015278,True,520d2f0c,01bec656-a79f-40cc-9093-16e2b942f039,5747a3c1
map,1655122806.220134,1655122811.936945,True,2852d46e,08c77007-e70d-4f1d-a346-cd06614add44,5747a3c1
map,1655122806.057181,1655122811.181313,True,223f81a6,001fa6c1-904b-43cd-a81d-b22e615f1c71,f4366ddf
reduce,1655122818.365966,1655122823.87258,True,4df79778,ed043004-1cd6-4a64-9c2f-1b1d88d533ea,f4366ddf
reduce,1655122818.352773,1655122824.323062,True,af420bcf,7740750e-9651-426d-b32a-4021aa5b123a,f4366ddf
reduce,1655122818.320034,1655122823.846372,True,85b470c7,45c8b490-f538-429a-9151-fc518803ffca,f4366ddf
shuffle,1655122812.491334,1655122817.733948,True,1f232501,bd08981f-bf75-4a95-b493-ab95f2cd2e93,f4366ddf
split,1655122800.558247,1655122805.546193,True,672457f9,2f786d03-a728-4c61-bca4-59c2caba987b,f4366ddf
map,1655122806.097195,1655122811.976357,True,0c6ce184,5349d84f-8b9d-45d6-8725-71ce7991273c,f4366ddf
reduce,1655122818.402381,1655122823.79444,True,15032d77,90a4a7e7-5fa3-40c9-aabe-a9d7ec4b28f2,f4366ddf
reduce,1655122818.427973,1655122824.00905,True,9ec4f2e3,6ae0faa3-35f4-497e-89ac-efc8401c77b5,f4366ddf
map,1655122806.058897,1655122811.120555,True,1377b20f,7ac784e5-e51c-487e-a092-bd0e85fa7953,f4366ddf
shuffle,1655122812.481307,1655122817.014576,True,c5a53898,7aff814f-0ec5-4a9f-b2b8-db6d92a581a1,bad9508a
reduce,1655122817.565495,1655122823.187685,True,5089e461,f4cd89e4-61e2-4964-a7da-71b2f48069fa,bad9508a
reduce,1655122818.012186,1655122823.853279,True,fc881e36,999b6628-8d45-4b4f-bc1b-c28b2b3b4007,bad9508a
map,1655122806.469831,1655122811.873434,True,086a1cca,744e70dc-4f41-441f-9a47-27727d4a4598,bad9508a
map,1655122806.458822,1655122811.943841,True,6a5714f1,b69b352b-833a-4fbc-af38-7eca2303a80b,bad9508a
reduce,1655122817.554565,1655122823.062206,True,b6f92f3d,5033879f-256f-4b03-94cb-d2631d5efb67,bad9508a
split,1655122800.371056,1655122805.940271,True,fa7dc52c,1a367b2f-ef42-41e7-ad40-97e2912b6774,bad9508a
reduce,1655122817.57457,1655122823.109224,True,d87892e6,261e1ca1-f6a3-437f-a662-8502aa9611d4,bad9508a
map,1655122806.450677,1655122812.111754,True,05527774,b59127fe-df63-474c-88f5-3a9639ce7ba9,bad9508a
reduce,1655122817.545171,1655122823.245594,True,2a25c849,14989fbe-ddb8-4134-9bd1-c586284dc08a,bad9508a
map,1655122806.776901,1655122812.732222,True,9cd67790,a346b06e-7d1f-4f2d-af28-cad949a0125c,6b0e3d3f
reduce,1655122819.141654,1655122824.784585,True,df7f2a67,ed79b0bf-bcea-4951-9fc3-aeb23cb9a844,6b0e3d3f
shuffle,1655122813.169206,1655122818.432928,True,e242ad5e,6b74b3f1-aa80-47c1-87e8-36dec4a7368e,6b0e3d3f
reduce,1655122818.963319,1655122824.147229,True,5f326d26,d5fbb630-d3c5-4b2c-b0fb-d3f09f7d55f9,6b0e3d3f
map,1655122806.794901,1655122812.581641,True,9662b28f,704f4e94-a855-4571-a5f4-ade678fd75ae,6b0e3d3f
reduce,1655122819.038267,1655122824.489729,True,643d985c,25b9df18-2498-4904-b316-c93a63faca1a,6b0e3d3f
reduce,1655122819.108647,1655122824.522048,True,cdbb8181,89e3995f-2783-46a5-a0d9-6d8e24fabed3,6b0e3d3f
reduce,1655122819.058276,1655122824.503707,True,14c21609,0894a928-2efd-4406-93ae-f16854109fc6,6b0e3d3f
map,1655122806.816896,1655122812.79265,True,217492bc,adaf63e8-3d18-4d6c-a7f6-b29c3536d048,6b0e3d3f
split,1655122800.367482,1655122806.26786,True,7b62e078,2e4ccb3b-ac26-418f-8885-2f93d44256fc,6b0e3d3f
map,1655122806.527616,1655122812.252573,True,21bff096,98a4d36b-6d1e-4d96-9828-977e1994859d,51b0af76
