func,start,end,is_cold,container_id,provider.request_id,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
rebase,1655127804.456066,1655127811.43765,True,371fc08e,aa1a477b-7d36-454a-bd69-f51323552a10,184dbafd,6987170.0,267350.0,137.0,6988.0,512.0,3577856.0
reencode,1655127796.711108,1655127802.467674,True,1f176f0d,d5a98a2e-70ac-4952-94f9-76df4aecc5ea,184dbafd,5762320.0,227010.0,137.0,5763.0,512.0,2950656.0
rebase,1655127811.505045,1655127815.339784,False,371fc08e,7af5f4a1-c2ac-4a75-b668-5d3c72d325ca,184dbafd,3839850.0,0.0,138.0,3840.0,512.0,1966080.0
rebase,1655127823.502057,1655127828.816731,False,16ed4af2,28483c1e-9775-4067-8f38-6bf7ee8a9e03,184dbafd,5320400.0,0.0,137.0,5321.0,512.0,2724352.0
reencode,1655127796.703413,1655127802.394727,True,1be14802,0c0992a6-ed11-4502-88f3-c6362c5c9348,184dbafd,5695550.0,221160.0,138.0,5696.0,512.0,2916352.0
rebase,1655127820.308364,1655127823.441915,False,16ed4af2,6de57ea7-17fe-4173-98ac-9a20d9b1a046,184dbafd,3139320.0,0.0,137.0,3140.0,512.0,1607680.0
reencode,1655127796.683834,1655127802.707371,True,c218de5f,94678155-edb1-4a74-bf12-0d77fcbb07cf,184dbafd,6028810.0,210950.0,141.0,6029.0,512.0,3086848.0
reencode,1655127796.731937,1655127803.853141,True,123db606,42050e9a-d07d-4615-bb21-7677d137b250,184dbafd,7129460.0,211120.0,137.0,7130.0,512.0,3650560.0
split,1655127776.857618,1655127776.858933,True,d713d157,5864c19c-5d61-4578-b212-bec5bd9efb7c,184dbafd,7520.0,234660.0,43.0,8.0,512.0,4096.0
encode,1655127777.357799,1655127792.252397,True,9d5d400b,954d849b-0ec9-417b-af07-6929088f743a,184dbafd,14900390.0,219570.0,107.0,14901.0,512.0,7629312.0
encode,1655127777.388338,1655127794.255231,True,15753aa9,2f8409bf-7e46-476a-838c-7677ec0bab24,184dbafd,16871970.0,237630.0,107.0,16872.0,512.0,8638464.0
encode,1655127777.34089,1655127796.208297,True,3641fbcd,5f331f35-0368-472b-8ab1-6ecfd34f9772,184dbafd,18872060.0,207020.0,109.0,18873.0,512.0,9662976.0
rebase,1655127815.399298,1655127820.250021,False,371fc08e,6a87940b-6394-45fe-9769-8409484e31c3,184dbafd,4856040.0,0.0,138.0,4857.0,512.0,2486784.0
encode,1655127777.399032,1655127793.189875,True,cfee7765,5f5851ce-5454-48cb-8cb6-30204e35b1dd,184dbafd,15796530.0,234010.0,106.0,15797.0,512.0,8088064.0
reencode,1655127796.671432,1655127802.604898,True,0246c099,074123c8-6439-4d14-bb35-f8e74cb618b7,184dbafd,5939080.0,205780.0,140.0,5940.0,512.0,3041280.0
encode,1655127777.366507,1655127793.379255,True,b4f36979,9e0a44c3-9719-4a7f-8130-ff1712a1a194,184dbafd,16019660.0,215940.0,107.0,16020.0,512.0,8202240.0
reencode,1655127796.847272,1655127802.904351,True,e6465a34,af7dcabc-4cc5-4dc4-9a97-43edd977909f,652cc869,6061690.0,217940.0,137.0,6062.0,512.0,3103744.0
rebase,1655127824.149798,1655127827.432642,False,8d74e4a4,63b8a44d-ab4f-473c-af39-4fd6199b87fb,652cc869,3289020.0,0.0,139.0,3290.0,512.0,1684480.0
encode,1655127777.503217,1655127792.296822,True,f750df17,7043d761-c4b9-4c89-9818-c535947e6831,652cc869,14798330.0,232440.0,107.0,14799.0,512.0,7577088.0
encode,1655127777.485963,1655127794.746209,True,444bb166,0a3e3d3a-6743-4fd4-b468-c7db66ffa5e0,652cc869,17265120.0,214350.0,106.0,17266.0,512.0,8840192.0
encode,1655127777.48562,1655127794.882388,True,d0ff66db,f368439d-51bf-4da4-8e2e-75a3c9c339ae,652cc869,17412630.0,225170.0,107.0,17413.0,512.0,8915456.0
reencode,1655127796.845122,1655127802.335516,True,969f36e7,89fe8232-b558-479f-862a-03e877a20816,652cc869,5494980.0,231290.0,137.0,5495.0,512.0,2813440.0
rebase,1655127814.888705,1655127820.153773,False,33e46486,46048c6e-4621-4dca-a3bf-44990e174348,652cc869,5269930.0,0.0,138.0,5270.0,512.0,2698240.0
reencode,1655127796.83285,1655127802.642963,True,6ee2963f,7bbfee98-702c-4969-84db-39263f0ae638,652cc869,5814860.0,206000.0,140.0,5815.0,512.0,2977280.0
encode,1655127777.446599,1655127791.340424,True,329ed90d,031b3e7c-b5f1-494d-a3a6-d29012d3f2f3,652cc869,13898840.0,179830.0,107.0,13899.0,512.0,7116288.0
split,1655127776.954399,1655127776.955608,True,6202de78,f9d2e646-9801-4380-b73e-c3b76417dd87,652cc869,7160.0,223830.0,44.0,8.0,512.0,4096.0
rebase,1655127810.44591,1655127814.825757,False,d1426811,757f99e4-3885-4ee1-9ab6-c91e3e607088,652cc869,4386340.0,0.0,138.0,4387.0,512.0,2246144.0
reencode,1655127796.855201,1655127803.162457,True,aab32b22,aabee8cd-8bcc-4186-8dab-652c3cade412,652cc869,6313280.0,222320.0,138.0,6314.0,512.0,3232768.0
reencode,1655127796.881417,1655127803.461867,True,a93afe0b,646e943b-b8ed-48a9-ac8f-ba0366bf80b7,652cc869,6585710.0,216200.0,140.0,6586.0,512.0,3372032.0
rebase,1655127803.922802,1655127810.382105,True,d1426811,5ec4a189-062e-41ba-94f8-e76e9b4c018e,652cc869,6465990.0,215760.0,137.0,6466.0,512.0,3310592.0
rebase,1655127820.212855,1655127824.093339,False,33e46486,fd86ec4f-fa45-4f75-9e8e-025d7580a22f,652cc869,3885630.0,0.0,138.0,3886.0,512.0,1989632.0
encode,1655127777.467148,1655127796.305784,True,2d67044e,554b1a30-0714-4f04-bb72-559627c16acf,652cc869,18844340.0,223940.0,109.0,18845.0,512.0,9648640.0
reencode,1655127797.724069,1655127803.886612,True,1448ec63,1054daee-08e3-4c5c-9536-93ff5e4cb12a,4d5a18ed,6169690.0,237470.0,140.0,6170.0,512.0,3159040.0
encode,1655127777.428835,1655127795.01454,True,fab0dfc5,18cb2a27-f5ad-4128-8481-087c3fa5b463,4d5a18ed,17590750.0,212130.0,107.0,17591.0,512.0,9006592.0
reencode,1655127797.719082,1655127803.638122,True,a2078f8e,d252e589-68a8-4765-9a54-187c3dbb262d,4d5a18ed,5924870.0,218140.0,139.0,5925.0,512.0,3033600.0
