func,start,end,is_cold,container_id,provider.request_id,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
rebase,1655123693.712644,1655123700.903151,False,33dd873d,7015ff2d-2b91-4c72-abf3-fdd3f9c2c1f5,7ee75172,7210870.0,0.0,140.0,7211.0,256.0,1846016.0
encode,1655123632.461237,1655123670.14846,True,3471ea47,bd1098ff-bd28-47d3-b105-a53d8a7b5d8b,7ee75172,37708430.0,217890.0,109.0,37709.0,256.0,9653504.0
encode,1655123632.496565,1655123659.622779,True,08d3d96f,2f38b166-908c-43cc-a535-5359f5b77e10,7ee75172,27146590.0,187270.0,107.0,27147.0,256.0,6949632.0
reencode,1655123670.611644,1655123682.631568,True,2432ece4,eadfaa57-2187-4a10-9317-0f97da06a1a8,7ee75172,12037170.0,181370.0,144.0,12038.0,256.0,3081728.0
split,1655123631.964662,1655123631.965977,True,25647e24,65313fe2-ec77-4ce7-893f-68809717e31d,7ee75172,8890.0,242000.0,43.0,9.0,256.0,2304.0
rebase,1655123683.167822,1655123693.647374,True,33dd873d,ddc7ca67-9dc4-4bd0-8097-c647a47ee482,7ee75172,10496270.0,267020.0,139.0,10497.0,256.0,2687232.0
rebase,1655123708.203975,1655123713.766986,False,33dd873d,4b532cc5-7fe9-41da-987b-198a1b93aede,7ee75172,5580110.0,0.0,140.0,5581.0,256.0,1428736.0
rebase,1655123700.97596,1655123708.040413,False,33dd873d,aa9bb68d-b4ed-41a4-b0ea-147dc2543668,7ee75172,7069500.0,0.0,140.0,7070.0,256.0,1809920.0
reencode,1655123670.668292,1655123681.83817,True,81b1f50d,a32d74e7-ad4e-43a5-85ad-99be40df2e30,7ee75172,11192530.0,224260.0,138.0,11193.0,256.0,2865408.0
reencode,1655123670.727912,1655123681.253122,True,06a66e68,02bb0299-6d44-490a-9c99-fc01ea585aea,7ee75172,10545530.0,277850.0,139.0,10546.0,256.0,2699776.0
encode,1655123632.541555,1655123664.609947,True,a18bc7b6,36a3a14a-b7a6-4ba9-908b-2060fd5aaf70,7ee75172,32072970.0,257360.0,107.0,32073.0,256.0,8210688.0
rebase,1655123713.840828,1655123720.204288,False,33dd873d,635a697a-6a3c-4479-8c7b-3e4a29ee9c61,7ee75172,6382550.0,0.0,140.0,6383.0,256.0,1634048.0
reencode,1655123670.642838,1655123682.376736,True,a136964b,6655770f-9838-448c-b79c-4ee3a55b1847,7ee75172,11738620.0,216790.0,141.0,11739.0,256.0,3005184.0
encode,1655123632.46966,1655123662.658572,True,117e84dd,397abdc6-3b35-4336-81b2-bb13a87d6ff0,7ee75172,30209900.0,212640.0,107.0,30210.0,256.0,7733760.0
encode,1655123632.503177,1655123667.473987,True,70418552,f2bbdb9c-e3a4-4ea7-b0dc-936057a02707,7ee75172,34996080.0,222350.0,107.0,34997.0,256.0,8959232.0
reencode,1655123670.656224,1655123680.791809,True,43b58431,8afae0fe-2ff3-4adc-822c-f2b33219e1db,7ee75172,10152960.0,206220.0,138.0,10153.0,256.0,2599168.0
reencode,1655123666.96594,1655123677.425661,True,a8d59c64,f2203aa5-6b57-4f4f-a274-228a6c349cb7,9189f398,10472770.0,206750.0,138.0,10473.0,256.0,2681088.0
rebase,1655123697.692566,1655123704.752322,False,57b5c4c8,b6a5fca6-b448-4ffd-85e6-50a69dca0e18,9189f398,7079600.0,0.0,139.0,7080.0,256.0,1812480.0
rebase,1655123690.684542,1655123697.622239,False,f2158b39,4cb80fc4-30bc-439a-9568-c29b72f94bf6,9189f398,6946910.0,0.0,138.0,6947.0,256.0,1778432.0
reencode,1655123666.971373,1655123679.837042,True,88e9b8f7,f597d616-dbea-4171-a585-1963f00b4101,9189f398,12887710.0,211490.0,139.0,12888.0,256.0,3299328.0
rebase,1655123710.847893,1655123716.490841,False,57b5c4c8,283cd9be-2a55-425c-a683-2975e7350757,9189f398,5661570.0,0.0,139.0,5662.0,256.0,1449472.0
encode,1655123632.396398,1655123661.278592,True,69e2c663,4cf200aa-939f-4376-83b1-2f0e56d0120f,9189f398,28898050.0,182920.0,107.0,28899.0,256.0,7398144.0
encode,1655123632.462088,1655123665.04106,True,949a7e1c,0f5dc8fe-f20c-4860-b00e-49e4b34cad56,9189f398,32584570.0,219620.0,107.0,32585.0,256.0,8341760.0
encode,1655123632.44545,1655123662.206316,True,143a423d,303e03b1-38ec-439e-9ac8-3d14ce3ee6f6,9189f398,29772830.0,216330.0,106.0,29773.0,256.0,7621888.0
reencode,1655123666.953467,1655123678.732177,True,2ce0a9b6,3ea8f3b7-5494-47bb-8bdc-35f66f969773,9189f398,11799180.0,207490.0,141.0,11800.0,256.0,3020800.0
rebase,1655123680.341002,1655123690.61335,True,f2158b39,d9b7fed2-1d3d-4858-8766-bde061083ec2,9189f398,10288570.0,207140.0,137.0,10289.0,256.0,2633984.0
encode,1655123632.444628,1655123666.389807,True,2983a5d8,a14562a8-7bde-40b6-ac7f-c2ce834cce38,9189f398,33965120.0,230810.0,109.0,33966.0,256.0,8695296.0
reencode,1655123667.08802,1655123678.069112,True,7fd406ec,64fe0673-e561-418e-955d-f04aaec807eb,9189f398,11014380.0,227740.0,138.0,11015.0,256.0,2819840.0
split,1655123631.918714,1655123631.920031,True,a5f5e9c0,803d8c0c-cbdc-4ce3-ad9b-7c9f4db1aa85,9189f398,12260.0,216580.0,44.0,13.0,256.0,3328.0
encode,1655123632.430238,1655123661.704005,True,25853721,84a85866-89b0-4e46-aec4-e97ede3cd080,9189f398,29279350.0,211740.0,107.0,29280.0,256.0,7495680.0
reencode,1655123667.025504,1655123678.373167,True,422b0faa,015f07f5-4c36-4e47-bcd4-de59de403495,9189f398,11371760.0,224540.0,137.0,11372.0,256.0,2911232.0
rebase,1655123704.832388,1655123710.77593,False,57b5c4c8,3ce4d725-bb73-4aeb-a338-3a6276167c4d,9189f398,5958320.0,0.0,139.0,5959.0,256.0,1525504.0
reencode,1655123667.644896,1655123679.030391,True,585339f8,4fff43f7-1148-41a5-ab65-7ae7447058d4,0911fed1,11391920.0,202440.0,143.0,11392.0,256.0,2916352.0
rebase,1655123699.699673,1655123706.871101,False,863a0c83,f0d04e50-88b4-4716-b122-d41d8ff785aa,0911fed1,7189020.0,0.0,140.0,7190.0,256.0,1840640.0
encode,1655123632.517318,1655123661.83679,True,9991ff2a,c0080f52-fdf3-4924-80d8-bc264682d00e,0911fed1,29336020.0,230980.0,106.0,29337.0,256.0,7510272.0
rebase,1655123706.942782,1655123713.706157,False,7afb4143,726fe909-ffad-47bf-8f91-8c3524cef2fe,0911fed1,6770590.0,0.0,137.0,6771.0,256.0,1733376.0
encode,1655123632.450418,1655123662.275612,True,bfedebce,407be03b-d1c3-45c8-8387-400231b43b3b,0911fed1,29862770.0,208180.0,107.0,29863.0,256.0,7644928.0
encode,1655123632.43824,1655123662.458342,True,02bf437f,26c2832b-f38d-41ac-a0b2-f3b1ec3ecbc1,0911fed1,30041050.0,206850.0,107.0,30042.0,256.0,7690752.0
rebase,1655123692.128895,1655123699.623884,False,863a0c83,a470ec8b-685c-4d11-bd28-e254208d1696,0911fed1,7516250.0,0.0,140.0,7517.0,256.0,1924352.0
reencode,1655123667.674377,1655123678.526329,True,4001ca36,3d4a1cf0-ed23-4ed6-9a6c-329239c62923,0911fed1,10861450.0,206220.0,136.0,10862.0,256.0,2780672.0
reencode,1655123667.629455,1655123681.340349,True,ca66e3f3,a0c1e483-7675-461c-a9d1-1e650e4d79e1,0911fed1,13718890.0,230780.0,141.0,13719.0,256.0,3512064.0
reencode,1655123667.682525,1655123678.235485,True,e921fd7f,88fc9c1d-1b03-47c4-aac3-dee257ba2de1,0911fed1,10559060.0,223710.0,139.0,10560.0,256.0,2703360.0
encode,1655123632.452793,1655123661.630984,True,d76bb4b6,887dcd13-7442-4af1-9d21-b2e8a4f75fdd,0911fed1,29183200.0,211300.0,107.0,29184.0,256.0,7471104.0
rebase,1655123681.819883,1655123692.061559,True,4a382fca,f7fdb84a-2bc5-4a5c-958a-3f3951ca643c,0911fed1,10246920.0,206730.0,137.0,10247.0,256.0,2623232.0
reencode,1655123667.89848,1655123679.88124,True,57069657,029a1c9e-c3ac-472b-9ab0-004e99a15d03,0911fed1,11987470.0,220580.0,137.0,11988.0,256.0,3068928.0
split,1655123631.923158,1655123631.92441,True,2eb09db5,6d682cc0-b563-4cc1-99aa-fdcbb7699576,0911fed1,15370.0,216440.0,43.0,16.0,256.0,4096.0
encode,1655123632.44785,1655123667.147398,True,20aa81d5,67823105-fa8b-481b-9048-3014df96ce36,0911fed1,34705680.0,212640.0,110.0,34706.0,256.0,8884736.0
rebase,1655123713.769079,1655123719.600069,False,7afb4143,20ccd882-cb8f-4188-b1ef-820f4bc8667a,0911fed1,5846300.0,0.0,137.0,5847.0,256.0,1496832.0
reencode,1655123666.778645,1655123677.033201,True,9ea44359,ec8e75a4-dd3b-4bc8-a695-6c3ef0c6cba5,3829000e,10268070.0,216030.0,139.0,10269.0,256.0,2628864.0
rebase,1655123680.033431,1655123690.915888,True,7afb4143,8e05d58b-c082-4fb7-94a2-87a824402ea6,3829000e,10901790.0,222260.0,136.0,10902.0,256.0,2790912.0
rebase,1655123691.036458,1655123701.17134,False,d2299cf4,be35c6d2-2f80-4aa6-a252-9942d8198310,3829000e,10155400.0,0.0,137.0,10156.0,256.0,2599936.0
encode,1655123632.430198,1655123666.25795,True,22a140f2,4f5c2a3e-1d27-4c2b-9562-b5fae275499e,3829000e,33847500.0,216080.0,109.0,33848.0,256.0,8665088.0
reencode,1655123666.784158,1655123679.536348,True,a2703565,b9a65f41-6fb7-444c-a9bd-d0a787679cda,3829000e,12784350.0,229970.0,141.0,12785.0,256.0,3272960.0
encode,1655123632.448211,1655123661.34919,True,35dff11e,bffa5cd7-ecce-424c-a7a0-e9142dabaea0,3829000e,28906640.0,212820.0,107.0,28907.0,256.0,7400192.0
rebase,1655123714.718219,1655123720.432991,False,5ab80446,d7f9710d-d7f3-4d17-87a1-ce5254a2e34d,3829000e,5723350.0,0.0,139.0,5724.0,256.0,1465344.0
rebase,1655123708.902704,1655123714.651744,False,5ab80446,44b3128b-369a-4ad8-9187-5bf994ffa106,3829000e,5759310.0,0.0,139.0,5760.0,256.0,1474560.0
split,1655123631.938082,1655123631.939386,True,ff01d20f,0374d4d5-e005-4c70-a422-5afece01e4ae,3829000e,9580.0,227550.0,44.0,10.0,256.0,2560.0
encode,1655123632.461348,1655123662.958301,True,3dc27786,14a85ebd-20ef-4b34-b8d7-0e1e1f558fdf,3829000e,30516710.0,217940.0,107.0,30517.0,256.0,7812352.0
reencode,1655123666.778439,1655123677.050155,True,cd1cf59d,7dbaf9b2-3a2b-40a7-846f-178a7b86f3c2,3829000e,10276520.0,210120.0,137.0,10277.0,256.0,2630912.0
rebase,1655123701.702942,1655123708.835797,False,5ab80446,2cc7a9db-7222-4f30-ad9c-94e3a163e749,3829000e,7138760.0,0.0,139.0,7139.0,256.0,1827584.0
reencode,1655123666.771546,1655123678.440233,True,81719447,b19f26c1-6ad5-4e3d-a245-5396b22e8b6a,3829000e,11673980.0,212860.0,141.0,11674.0,256.0,2988544.0
encode,1655123632.4556,1655123661.261954,True,13e0d8b3,d59e4c4b-37fb-4f0d-a6e5-2e15793d8c60,3829000e,28823810.0,214580.0,107.0,28824.0,256.0,7378944.0
encode,1655123632.526283,1655123663.054631,True,5c8865bc,8e4e6d98-d922-454d-bb18-81935bedd989,3829000e,30547900.0,211540.0,107.0,30548.0,256.0,7820288.0
reencode,1655123666.78412,1655123677.109343,True,dbf1987b,e7f93707-9891-4076-b51c-45ddbb96e7a5,3829000e,10334540.0,209820.0,139.0,10335.0,256.0,2645760.0
encode,1655123632.506324,1655123668.020409,True,cab953de,b5082924-d1f6-4375-b42b-9168f48525b5,696840a0,35553750.0,236250.0,109.0,35554.0,256.0,9101824.0
rebase,1655123701.736138,1655123708.99021,False,3526e2e9,2bd00475-4a17-4e12-ba51-c1193d5aeebe,696840a0,7278190.0,0.0,138.0,7279.0,256.0,1863424.0
rebase,1655123681.79416,1655123694.059564,True,5ab80446,0eb412ab-4524-4ad0-997d-084c35a3cf65,696840a0,12271170.0,220270.0,138.0,12272.0,256.0,3141632.0
rebase,1655123715.280823,1655123721.121782,False,3526e2e9,f7e8ed83-80a3-4f67-a6f9-19c787fbf0e9,696840a0,5855370.0,0.0,138.0,5856.0,256.0,1499136.0
encode,1655123632.532361,1655123662.895595,True,b669f829,eb891811-f012-431f-8f56-152283e67c87,696840a0,30391000.0,231380.0,107.0,30391.0,256.0,7780096.0
rebase,1655123694.114314,1655123701.306034,False,5ab80446,6d42d4eb-b1e8-4101-87ca-a90bae92c457,696840a0,7225240.0,0.0,139.0,7226.0,256.0,1849856.0
rebase,1655123709.110247,1655123715.215274,False,3526e2e9,5fc5ca74-d49e-4c33-b27f-afa4d62c96fa,696840a0,6126950.0,0.0,138.0,6127.0,256.0,1568512.0
encode,1655123632.512401,1655123661.6184,True,bc39f5ef,cab24c70-0307-42f0-9475-2bdaa1306dfb,696840a0,29112040.0,217680.0,106.0,29113.0,256.0,7452928.0
split,1655123631.982889,1655123631.984164,True,01c93b55,ef240076-ffb0-476b-b8a5-00d1dedefccf,696840a0,11260.0,245290.0,43.0,12.0,256.0,3072.0
reencode,1655123668.484965,1655123679.899562,True,92300fa2,2abb27bb-b44c-4217-a57c-3066067f618a,696840a0,11419560.0,185490.0,141.0,11420.0,256.0,2923520.0
reencode,1655123668.531718,1655123679.527931,True,7c6a7094,feb2c2db-d2a9-4e00-8614-b289c6f9433e,696840a0,11015880.0,218530.0,139.0,11016.0,256.0,2820096.0
