func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
train,1706023678.451805,1706023688.092831,True,e9c1cbc0,47976747-72d8-41b8-9beb-d4ac495acbcb,0,4100256,f54a348a
train,1706023678.450987,1706023688.489371,True,2ff636bc,e19a3d7b-eddc-41a9-962c-063473f0fec6,0,4100256,f54a348a
generate,1706023668.852258,1706023677.085132,True,02e9d1ce,81a3af51-67ed-4125-bee2-1ac010ceb059,4100256,0,f54a348a
train,1706023678.123796,1706023687.711516,True,08e1ab83,84cb308e-bb3e-4e48-ade0-808b7714d98d,0,4100256,6d9d4d32
train,1706023678.043055,1706023687.80101,True,95f0d5d4,bfe01053-5cd3-4247-81d9-a34e175d25c7,0,4100256,6d9d4d32
generate,1706023668.845328,1706023676.825652,True,803abf3c,07260338-94f4-47d1-bacd-5dfb38c68de4,4100256,0,6d9d4d32
train,1706023678.170408,1706023688.199124,True,e772e687,ef5e00c7-5e17-4d9a-9cfa-835cbb70e3d3,0,4100256,4a3656e6
train,1706023678.172391,1706023688.099117,True,40d6496e,f54cf480-5879-45a5-a644-3ad17f3b21c4,0,4100256,4a3656e6
generate,1706023668.884831,1706023677.007018,True,24d486ec,23f1c2d3-d3bc-4224-b97a-b36852149dc9,4100256,0,4a3656e6
train,1706023678.484008,1706023687.652759,True,a85da2ff,ca28b281-bbb1-4ca7-bdf9-c5cbc001a1a0,0,4100256,e0bf190a
train,1706023678.535868,1706023688.429556,True,bd2331f2,411c9532-909d-4eb7-b5bc-63b602d6070c,0,4100256,e0bf190a
generate,1706023668.99923,1706023677.335688,True,0e6a943f,a29a0b6b-b759-4827-9360-16057f7a9f90,4100256,0,e0bf190a
generate,1706023668.883931,1706023677.061544,True,7bbddc4e,8df3c2d4-220e-4fc6-8bc8-50ee35226bbb,4100256,0,5476af2d
train,1706023678.368997,1706023688.218625,True,256972bd,7ddd6634-94a0-453d-bdf8-6326ce64caf6,0,4100256,5476af2d
