func,start,end,is_cold,container_id,provider.request_id,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
train,1655332999.066242,1655332999.314729,False,e135eced,7c6c0507-667f-41e9-9e3c-a883222c6cee,3af1eb4e,5853546.0,0.0,,,,0.0
train,1655332993.916633,1655332995.90284,False,d5a161d7,aff11250-4219-454f-b340-ec21d9fb155b,3af1eb4e,2263619.0,0.0,,,,0.0
generate,1655332992.550975,1655332992.805826,False,d5a161d7,1733dde2-7069-49d1-a157-879c19bcbcc9,3af1eb4e,8344882.0,0.0,,,,0.0
train,1655333002.937686,1655333003.20243,False,c7d624d7,91635b4e-a02f-4dd3-b3b3-89883ba06546,f1fad56f,2866197.0,0.0,,,,0.0
generate,1655332996.386708,1655332996.606533,False,e135eced,d5cd4686-5f26-4ba9-a925-3ad582051ce3,f1fad56f,6375434.0,0.0,,,,0.0
train,1655333001.808068,1655333002.068428,False,e135eced,b7640a0f-fbc0-44c9-a5f3-02bd84d396c3,f1fad56f,1762507.0,0.0,,,,0.0
generate,1655332990.909112,1655332991.226042,False,c7d624d7,1bc45ac2-1b99-451f-91a2-7d612912561f,7daf46cb,347191.0,0.0,,,,0.0
train,1655332994.070096,1655332994.414805,False,c7d624d7,cd44d756-5f1a-468b-8bbb-956ad4ad60ba,7daf46cb,2812753.0,0.0,,,,0.0
train,1655332994.423865,1655332994.654712,False,c7d624d7,df3a9b24-b703-4390-8408-481534690324,7daf46cb,3033291.0,0.0,,,,0.0
train,1655333001.108111,1655333001.333343,False,e135eced,a0678d69-7a56-4511-8081-708b6e88493a,06339f11,1436269.0,0.0,,,,0.0
train,1655333000.82109,1655333001.09071,False,e135eced,5471bffa-7e46-482e-8b8b-35918f3f036b,06339f11,1257072.0,0.0,,,,0.0
generate,1655332990.1946,1655332996.096049,True,e135eced,3d9b60a5-c6e5-4654-8d4a-e49192238acf,06339f11,5943268.0,0.0,,,,0.0
train,1655332998.410349,1655332998.667219,False,c7d624d7,2b858fd0-abeb-4902-b76a-c55ae916033a,a82646b4,1508490.0,0.0,,,,0.0
train,1655333000.28541,1655333000.567892,False,e135eced,b02d7d18-14b3-4b07-a85f-68b3fe5ccd5a,a82646b4,3474886.0,0.0,,,,0.0
generate,1655332996.087489,1655332996.349246,False,c7d624d7,17692bce-e392-486a-9000-56772f1bcbb5,a82646b4,672852.0,0.0,,,,0.0
train,1655333001.650567,1655333001.938916,False,c7d624d7,db0c43bb-8c60-4d74-9d3d-28ce6749f599,7a700820,2172460.0,0.0,,,,0.0
generate,1655332997.287105,1655332997.475514,False,d5a161d7,9febf647-7a2c-4cac-93df-7ca67ccebdf7,7a700820,2546675.0,0.0,,,,0.0
train,1655333002.628611,1655333002.907924,False,c7d624d7,8b4b0d14-6d31-4186-8036-9f1aae1ed03d,7a700820,3070668.0,0.0,,,,0.0
generate,1655332996.100857,1655332996.381677,False,e135eced,27b3f17d-d117-4097-930c-408518a2c115,1d363a41,6201422.0,0.0,,,,0.0
train,1655333001.585046,1655333001.795635,False,e135eced,80020a3e-c4f2-4f09-a75f-0437d30496c0,1d363a41,1771477.0,0.0,,,,0.0
train,1655333001.33781,1655333001.580128,False,e135eced,9698d2fb-5254-4796-ab59-fec819d1a042,1d363a41,1563498.0,0.0,,,,0.0
generate,1655332996.631398,1655332996.898674,False,e135eced,1d4b8a9c-1e47-4697-9350-0fba6d556d0e,b941dfb7,6081642.0,0.0,,,,0.0
train,1655333001.055838,1655333001.320249,False,c7d624d7,fa9db658-b680-4e1b-a7fd-1c03a7d07ef2,b941dfb7,2458181.0,0.0,,,,0.0
train,1655333001.332471,1655333001.642018,False,c7d624d7,25fe0777-59b8-464e-a076-b294b289358b,b941dfb7,2761349.0,0.0,,,,0.0
train,1655332991.574436,1655332993.43851,False,c7d624d7,70233af5-e1fd-444d-b628-b8318cf82769,aa9d9a52,2112528.0,0.0,,,,0.0
train,1655332993.44642,1655332993.78771,False,c7d624d7,fce7a3da-0ffa-496a-921d-2f7719f60a20,aa9d9a52,2438524.0,0.0,,,,0.0
generate,1655332990.516984,1655332990.752708,False,c7d624d7,ac22e4b8-6298-44a1-8353-3492e6644f2e,aa9d9a52,7099406.0,0.0,,,,0.0
train,1655332996.603555,1655332996.935733,False,d5a161d7,f535e638-1049-4342-8c69-35292cc2c194,e7423547,3176544.0,0.0,,,,0.0
train,1655332995.919055,1655332996.299456,False,d5a161d7,2575a7c9-1e10-4a80-af0a-d6c90ad5252d,e7423547,2654616.0,0.0,,,,0.0
generate,1655332984.520251,1655332992.541372,True,d5a161d7,fe3c4b0e-004c-4ff6-b5b4-c788590aaae0,e7423547,8055955.0,0.0,,,,0.0
generate,1655332996.905105,1655332997.107927,False,e135eced,15ff16ae-02da-483f-9d58-44a8e9b128c3,feade290,6174329.0,0.0,,,,0.0
train,1655332999.729579,1655333000.116223,False,c7d624d7,f1627606-4dcf-4f2b-9e24-680b990a16a8,feade290,1337836.0,0.0,,,,0.0
train,1655333000.128319,1655333000.4056,False,c7d624d7,86fc8f59-b0bd-4211-9f53-3c3d6de67dc3,feade290,1592018.0,0.0,,,,0.0
train,1655333000.046618,1655333001.831296,False,f7d20175,eb268e10-1f38-45a3-8f9a-efba07787ef2,787dccb0,8199089.0,0.0,,,,0.0
generate,1655332992.866343,1655332993.170004,False,d5a161d7,620c180c-4bcf-496b-a64e-2b61c34699c1,787dccb0,8638864.0,0.0,,,,0.0
train,1655332996.307941,1655332996.595124,False,d5a161d7,043dfa9b-58c1-4ace-b4f0-4587c818b4ea,787dccb0,2880641.0,0.0,,,,0.0
train,1655333003.096795,1655333003.29063,False,e135eced,4f2f5624-ef52-4aaa-a8fe-9a2f1399dfd6,a05d9395,2417897.0,0.0,,,,0.0
train,1655333002.808089,1655333003.092562,False,e135eced,9ec7a89a-8398-44db-ad6c-64a5be1dc138,a05d9395,2222715.0,0.0,,,,0.0
generate,1655332998.821947,1655332999.042719,False,e135eced,4c440444-0d32-4120-b6ad-b12a4a6bf97f,a05d9395,5927392.0,0.0,,,,0.0
generate,1655332993.613712,1655332993.888358,False,d5a161d7,49f35498-f976-41e6-95af-b29345d7879c,6cd55667,315278.0,0.0,,,,0.0
train,1655332997.800161,1655332998.170617,False,d5a161d7,1c42635f-8b03-4b40-9bf3-d87c793fcd7b,6cd55667,1181426.0,0.0,,,,0.0
train,1655332998.202679,1655332998.446541,False,d5a161d7,6f8ca9e2-984e-42d0-b47a-a9a4f73a13bb,6cd55667,1418409.0,0.0,,,,0.0
train,1655332997.475715,1655332997.814234,False,c7d624d7,23318e01-677b-4894-8f26-b138b36a114e,0fd937b3,725258.0,0.0,,,,0.0
generate,1655332995.380314,1655332995.635538,False,c7d624d7,fa24b28f-325e-4860-ab75-99377d4b9ae1,0fd937b3,940320.0,0.0,,,,0.0
train,1655332997.822767,1655332998.085087,False,c7d624d7,891fe244-5c88-469d-a8f1-fa631d8a7dfe,0fd937b3,972143.0,0.0,,,,0.0
train,1655332999.10692,1655332999.339021,False,c7d624d7,2e359d2a-7f70-4985-bebd-aad2b5926879,d0a8ac76,1804426.0,0.0,,,,0.0
