func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
train,1706455373.901501,1706455380.393697,True,40496208,tm4u9d6cvtji,0,4100256,ed14f266,6534000.0,0.0,,,,0.0
generate,1706455365.4571,1706455372.405897,True,975bd6a0,q03021xvija5,4100256,0,ed14f266,7025000.0,0.0,,,,0.0
train,1706455379.482187,1706455379.921801,False,fedfa07e,dm101mgukqd4,0,4100256,ed14f266,450000.0,0.0,,,,0.0
train,1706455372.901462,1706455378.738249,True,a314d53d,0ugrx1tej5pj,0,4100256,add44886,5884000.0,0.0,,,,0.0
generate,1706455364.948911,1706455371.549619,True,d7f3b1b2,1wuvzm0nb9qi,4100256,0,add44886,6684000.0,0.0,,,,0.0
train,1706455373.029815,1706455379.214499,True,fe2e411a,eqqkvvigkki5,0,4100256,add44886,6231000.0,0.0,,,,0.0
train,1706455372.754586,1706455379.635556,True,baffebc8,mf8vz51ssv3o,0,4100256,897324cd,6966000.0,0.0,,,,0.0
train,1706455372.728265,1706455380.850215,True,eb4a4db5,iiqexte4clfd,0,4100256,897324cd,8215000.0,0.0,,,,0.0
generate,1706455364.209599,1706455370.599659,True,3dd224b6,nsb7dx1vxvcm,4100256,0,897324cd,6479000.0,0.0,,,,0.0
train,1706455374.843707,1706455381.124449,True,fdc304b5,ranvbscb9mud,0,4100256,d6745091,6324000.0,0.0,,,,0.0
generate,1706455365.237641,1706455373.228969,True,78285f65,s0niuh4wosbw,4100256,0,d6745091,8094000.0,0.0,,,,0.0
train,1706455374.863209,1706455380.648296,True,ab56d724,5zz3dtuxew2b,0,4100256,d6745091,5820000.0,0.0,,,,0.0
generate,1706455364.722997,1706455370.639074,True,e691a565,620xm3xnds2g,4100256,0,3d91311d,6010000.0,0.0,,,,0.0
train,1706455372.41044,1706455379.008299,True,9ae875bb,7p5puns27toz,0,4100256,3d91311d,6657000.0,0.0,,,,0.0
train,1706455372.311832,1706455378.632537,True,8d6fa077,x5g3e5w79mgp,0,4100256,3d91311d,6347000.0,0.0,,,,0.0
train,1706455372.29377,1706455378.487,True,7a2036c5,xg0yso8zo4r6,0,4100256,72ff427f,6268000.0,0.0,,,,0.0
train,1706455372.609597,1706455379.443279,True,fb457642,3i808oz5xm01,0,4100256,72ff427f,6936000.0,0.0,,,,0.0
generate,1706455364.818539,1706455370.57208,True,2ad1447a,pzfea5lfg2mj,4100256,0,72ff427f,5830000.0,0.0,,,,0.0
generate,1706455364.712081,1706455371.515,True,a06aa4c4,03wvelznqug7,4100256,0,95a0b5ea,6885000.0,0.0,,,,0.0
train,1706455373.363661,1706455380.02903,True,a0981948,cm7igyzca52r,0,4100256,95a0b5ea,6771000.0,0.0,,,,0.0
train,1706455373.156054,1706455379.739034,True,4dc138b6,85rdjwq6l8r2,0,4100256,95a0b5ea,6634000.0,0.0,,,,0.0
generate,1706455362.774346,1706455369.970166,True,be6ed2bf,y221cu5f73jx,4100256,0,895ecbd7,7215000.0,0.0,,,,0.0
train,1706455371.897656,1706455378.166407,True,4b172119,wsqgzrh88ba7,0,4100256,895ecbd7,6322000.0,0.0,,,,0.0
train,1706455371.784358,1706455377.926779,True,628a9930,ol3vwwmkgj3h,0,4100256,895ecbd7,6221000.0,0.0,,,,0.0
generate,1706455364.953853,1706455371.532071,True,742a0ba1,0bausnl5asxb,4100256,0,c8325163,6649000.0,0.0,,,,0.0
train,1706455373.512828,1706455379.809538,True,09c13726,kwaso8m7l8b8,0,4100256,c8325163,6344000.0,0.0,,,,0.0
train,1706455373.370076,1706455379.777561,True,82d3a469,dhmbw3m39fkx,0,4100256,c8325163,6450000.0,0.0,,,,0.0
train,1706455373.081292,1706455379.744311,True,c65afe50,h9nwxc04l2v7,0,4100256,cb96f425,6714000.0,0.0,,,,0.0
train,1706455372.742693,1706455379.740179,True,607c5b40,5mv5znxxjd9r,0,4100256,cb96f425,7042000.0,0.0,,,,0.0
generate,1706455364.813821,1706455370.772229,True,6c75849b,zhvday0kl659,4100256,0,cb96f425,6068000.0,0.0,,,,0.0
generate,1706455364.697174,1706455370.429738,True,6b826393,wnessp0o7zo4,4100256,0,e98b5ba0,5785000.0,0.0,,,,0.0
train,1706455372.86947,1706455382.035303,True,ff2bb8a2,fae8gmut25cs,0,4100256,e98b5ba0,9283000.0,0.0,,,,0.0
train,1706455372.456508,1706455380.699856,True,748c5aad,ylntkcjm7r4o,0,4100256,e98b5ba0,8307000.0,0.0,,,,0.0
train,1706455376.476189,1706455385.197851,True,4b9bcdba,65k99szj0jlk,0,4100256,ce1a3055,8794000.0,0.0,,,,0.0
train,1706455374.785536,1706455382.146912,True,fff95e4a,qspeoh0zdgse,0,4100256,ce1a3055,7458000.0,0.0,,,,0.0
generate,1706455364.856037,1706455372.927574,True,6263ef14,jefpyluuepy1,4100256,0,ce1a3055,8155000.0,0.0,,,,0.0
train,1706455374.144033,1706455382.066994,True,cc105881,655doesh873b,0,4100256,64f2dacb,7969000.0,0.0,,,,0.0
train,1706455373.700212,1706455379.397899,True,1b30187e,axu8y7xm41cg,0,4100256,64f2dacb,5765000.0,0.0,,,,0.0
generate,1706455365.123597,1706455372.110594,True,f39e9057,n7n2gpcffj9t,4100256,0,64f2dacb,7110000.0,0.0,,,,0.0
generate,1706455364.81884,1706455370.644682,True,0ec517d4,pttv7fyq82h1,4100256,0,8dbbfed6,5888000.0,0.0,,,,0.0
train,1706455372.432416,1706455378.158176,True,e988c4ab,1m368ebezu2h,0,4100256,8dbbfed6,5782000.0,0.0,,,,0.0
train,1706455372.424219,1706455378.888236,True,170c0687,4z4iebxotcn2,0,4100256,8dbbfed6,6548000.0,0.0,,,,0.0
train,1706455373.072944,1706455379.763788,True,88ab4e8a,o5n8ek4287tt,0,4100256,c2039d2d,6757000.0,0.0,,,,0.0
train,1706455372.777377,1706455379.619243,True,2c020c1a,bxuy7j98qphm,0,4100256,c2039d2d,6930000.0,0.0,,,,0.0
generate,1706455364.615585,1706455371.209291,True,9ce62ed5,g4s0h738be2s,4100256,0,c2039d2d,6662000.0,0.0,,,,0.0
train,1706455370.183775,1706455377.321457,True,82d7f145,ota4ak0xann8,0,4100256,0cc31d3d,7164000.0,0.0,,,,0.0
generate,1706455364.091082,1706455369.862025,True,29a27cbb,vktbn8xk234t,4100256,0,0cc31d3d,5825000.0,0.0,,,,0.0
train,1706455371.619961,1706455378.022358,True,dd07e5b6,44kk5712fz08,0,4100256,0cc31d3d,6463000.0,0.0,,,,0.0
train,1706455372.572171,1706455379.50911,True,d0dbe035,cjcnig25te9i,0,4100256,1845e13e,6994000.0,0.0,,,,0.0
train,1706455372.768676,1706455379.750068,True,8fa341c1,77tzbm6dookq,0,4100256,1845e13e,7056000.0,0.0,,,,0.0
generate,1706455364.506796,1706455370.712787,True,fb589fd5,4tj70g3vjof2,4100256,0,1845e13e,6262000.0,0.0,,,,0.0
generate,1706455365.439995,1706455372.430528,True,b2512a3f,s4gv0xgnhxke,4100256,0,2821aeac,7072000.0,0.0,,,,0.0
train,1706455374.3425,1706455380.596569,True,739c4a3e,3dmqq6rz3z2l,0,4100256,2821aeac,6301000.0,0.0,,,,0.0
train,1706455374.214644,1706455380.391539,True,244dea1b,s2253nb9m9qr,0,4100256,2821aeac,6257000.0,0.0,,,,0.0
train,1706455372.61388,1706455379.015172,True,3fc71879,fih2rlmzgt2y,0,4100256,b75699f4,6444000.0,0.0,,,,0.0
train,1706455374.344665,1706455380.838452,True,3a8246a1,2ve8cm6wwk0h,0,4100256,b75699f4,6546000.0,0.0,,,,0.0
generate,1706455364.791986,1706455370.79299,True,affa2301,skbjb7pi13p2,4100256,0,b75699f4,6089000.0,0.0,,,,0.0
train,1706455371.749115,1706455378.102497,True,422ca14e,cvrakjsyf3sq,0,4100256,61e902c1,6390000.0,0.0,,,,0.0
train,1706455371.945597,1706455378.272565,True,b3dca556,jjidkq6sjayp,0,4100256,61e902c1,6365000.0,0.0,,,,0.0
generate,1706455364.555112,1706455370.181704,True,9b662a4c,rwa5fmrqvsef,4100256,0,61e902c1,5683000.0,0.0,,,,0.0
generate,1706455364.890973,1706455372.984903,True,98f6bcd7,twjxzm8t12ce,4100256,0,f2798bfa,8186000.0,0.0,,,,0.0
train,1706455374.630421,1706455381.010696,True,0b867fdb,24fbvyfss084,0,4100256,f2798bfa,6428000.0,0.0,,,,0.0
train,1706455374.613347,1706455380.884353,True,51945431,2k46q9x2pxcz,0,4100256,f2798bfa,6363000.0,0.0,,,,0.0
generate,1706455364.716794,1706455370.968652,True,c42684df,k3s00bq6txei,4100256,0,03368e57,6351000.0,0.0,,,,0.0
train,1706455372.715804,1706455379.616746,True,8dc5b484,ozvvsjwjdqvi,0,4100256,03368e57,6952000.0,0.0,,,,0.0
train,1706455373.847082,1706455379.634959,True,03fa78be,papd5hxbzj4q,0,4100256,03368e57,5844000.0,0.0,,,,0.0
train,1706455373.072244,1706455379.683468,True,30bd6981,7moqtjklfc4v,0,4100256,6f328039,6689000.0,0.0,,,,0.0
generate,1706455364.58569,1706455371.150554,True,58c2fee8,gv11fr9chhkf,4100256,0,6f328039,6638000.0,0.0,,,,0.0
train,1706455373.27532,1706455379.823081,True,7694b82d,3e028dgqkxue,0,4100256,6f328039,6605000.0,0.0,,,,0.0
generate,1706455364.693463,1706455370.352213,True,fe8bd7a2,94s34dzoasok,4100256,0,cd453e58,5712000.0,0.0,,,,0.0
train,1706455372.047548,1706455377.9756,True,e71f6943,r5hq7s8zoot1,0,4100256,cd453e58,6006000.0,0.0,,,,0.0
train,1706455371.944163,1706455377.86725,True,ed0cb303,ieaamftak0il,0,4100256,cd453e58,6030000.0,0.0,,,,0.0
train,1706455373.714334,1706455382.83631,True,b9fb1346,0kebc6wld6d7,0,4100256,44e5f014,9217000.0,0.0,,,,0.0
train,1706455373.017744,1706455379.136489,True,e7e9b786,nl23ejy8ah7s,0,4100256,44e5f014,6137000.0,0.0,,,,0.0
generate,1706455370.9929,1706455371.411434,False,c42684df,k3s0i8ebc9ym,4100256,0,44e5f014,429000.0,0.0,,,,0.0
train,1706455372.87542,1706455381.968964,True,655874f1,bkbvf5hpchwx,0,4100256,69939b97,9224000.0,0.0,,,,0.0
generate,1706455364.539423,1706455370.184145,True,766935ea,evz8bqix1ppp,4100256,0,69939b97,5669000.0,0.0,,,,0.0
train,1706455371.649571,1706455378.094999,True,37f7ce06,dfmz7zulg8aq,0,4100256,69939b97,6508000.0,0.0,,,,0.0
train,1706455372.704575,1706455380.935357,True,986ca4a9,strmb8cosjtl,0,4100256,a9febc9b,8284000.0,0.0,,,,0.0
train,1706455372.423429,1706455378.119193,True,524a2c9d,12hgvztct66y,0,4100256,a9febc9b,5729000.0,0.0,,,,0.0
generate,1706455364.178289,1706455370.641832,True,5a61c812,4a0grtwazogi,4100256,0,a9febc9b,6519000.0,0.0,,,,0.0
train,1706455372.731866,1706455379.45543,True,fedfa07e,dm10h2lt9yhw,0,4100256,e789e4d1,6781000.0,0.0,,,,0.0
train,1706455373.84546,1706455379.777415,True,d1791921,n3c3at3j53ot,0,4100256,e789e4d1,5995000.0,0.0,,,,0.0
generate,1706455364.690032,1706455371.019097,True,e3f9ee52,1omlb62opyox,4100256,0,e789e4d1,6419000.0,0.0,,,,0.0
generate,1706455364.713283,1706455370.567183,True,792e141e,k4j0vug5zzv4,4100256,0,785cf330,5931000.0,0.0,,,,0.0
train,1706455372.459021,1706455380.475714,True,73d6e5b5,5kl3ucuqh7di,0,4100256,785cf330,8090000.0,0.0,,,,0.0
train,1706455372.292389,1706455378.682894,True,d25909d4,7ocv278qvfxd,0,4100256,785cf330,6430000.0,0.0,,,,0.0
train,1706455373.827786,1706455379.71455,True,e5180fb4,lbk3bsk0amgb,0,4100256,bf5e1f85,5932000.0,0.0,,,,0.0
generate,1706455364.717602,1706455370.979636,True,477b0c6f,ge2tybl5bgbc,4100256,0,bf5e1f85,6360000.0,0.0,,,,0.0
train,1706455372.589714,1706455379.507445,True,9b345828,gif2fu2u595d,0,4100256,bf5e1f85,6939000.0,0.0,,,,0.0
train,1706456676.797957,1706456682.615756,True,2517b7e6,n1sl9a8qhzct,0,4100256,8030982d,5929000.0,0.0,,,,0.0
train,1706456677.922475,1706456685.776748,True,4af10eca,g6jw8i8aoqvg,0,4100256,8030982d,7919000.0,0.0,,,,0.0
generate,1706456668.942812,1706456675.154053,True,22c667ad,drntp41h7srx,4100256,0,8030982d,6264000.0,0.0,,,,0.0
train,1706456677.43409,1706456684.066649,True,72899275,odnsjgqd026f,0,4100256,af2aa948,6656000.0,0.0,,,,0.0
generate,1706456668.049289,1706456674.03102,True,5f98c3a1,eztbgq4s2w85,4100256,0,af2aa948,6036000.0,0.0,,,,0.0
train,1706456675.769546,1706456682.294399,True,3856c64c,llocxe2z8dup,0,4100256,af2aa948,6595000.0,0.0,,,,0.0
train,1706456675.683805,1706456683.195258,True,5e868d50,2ljjoimdl3e3,0,4100256,6b734f90,7577000.0,0.0,,,,0.0
